a	art+m.एक@art+f.एक@art+n.एक
categorization	n+f.वर्गीकरण
categorize	vt.वर्गीकृत करणे
categorized	a.वर्गीकृत
categorizing	v.वर्गीकरण करणे
category	n+f.श्रेणी@n+m.वर्ग
cater	vt.पूर्तता करणे
catered	vt.पुरवले
caterer	n+m.केटरर
caterers	n+m.केटरर
catering	n+f.जेवण पुरवठा@n+n.केटरिंग
caterpillar	n+m.सुरवंट
caterpillars	n+f.pl.सुरवंट
caters	vi.पुरवठा करतो
catfish	n+m.कॅटफिश
cath	n.कॅथ
catharine	n.कॅथरीन
cathay	n.कॅथे
cathedral	n+n.कॅथेड्रल@n+f.मोठी चर्च
cathedrals	n+m+pl.कॅथेड्रल
catherine	n+f.कॅथरीन
catheter	n+m.कॅथेटर
catheters	n.कॅथेटर
cathie	n+f.कॅथी
cathode	n+m.कॅथोड
catholic	a.कॅथोलिक@n+m.कॅथोलिक
catholicism	n+m.कॅथलिक धर्म
catholics	n+m.कॅथलिक
cathy	n+f.कॅथी
cation	n+m.धनायन
cationic	a.धन आयनी
cations	n.धनायन
catnip	n+m.कॅटनिप
cato	n.कॅटो
cats	n+f.मांजरी
catskill	n.कॅट्सकिल
catskills	n+m.pl.कॅट्सकिल्स
cattery	n+f.मांजर पालनगृह
cattle	n+f.गुरे@n+m.पशुधन
cattlemen	n+m.गुरांचे पालक
catwalk	n+m.कॅटवॉक
caucasian	a.कॉकेशियन@n+m.कॉकेशियन
caucasus	n.कॉकेसस
cauchy	n+m.कॉशी
caucus	n+m.गट
caucuses	n+f.पक्ष बैठका
caudal	a.शेपटीचा
caught	v.पकडले
cauldron	n+m.कढई@n+n.मोठे भांडे
cauliflower	n+f.फ्लॉवर
caulk	v.सांध्या भरणे@n+m.सीलंट
caulking	v.सांध्या भरणे@n+n.सीलंट
causal	a.कारणात्मक
causality	n+f.कार्यकारणता
causation	n+f.कारणे
causative	a.कारक@a.कारणात्मक
cause	n+n.कारण@vt.घडवणे
caused	v.घडवले
causes	n+n.कारणे@v.घडवतो
causeway	n+m.धरणाचा रस्ता
causing	v.कारणीभूत असणे@a.कारणीभूत
caustic	a.दाहक@n+n.क्षार
caution	n+f.सावधगिरी@v.सावध करणे
cautionary	a.सावधगिरीचा
cautioned	vt.सावध केलेला
cautions	n.सावधानता@vt.सावध करणे
cautious	a.सावध
cautiously	ad.सावधपणे
cav	n.घोडदळ
cavalier	n+m.घोडेस्वार@a.बेफिकीर
cavaliers	n+m.घोडेस्वार
cavalry	n+f.घोडदळ
cavan	n.कॅव्हन
cave	n+f.गुहा
caveat	n+f.चेतावणी
caveats	n.इशारे
caveman	n+m.गुहावासी
cavendish	n.कॅव्हेंडिश
cavern	n+f.गुहा
cavernous	a.गुहेसारखा@a.प्रचंड
caverns	n.गुहा
caves	n+f.गुहा
caviar	n+m.कॅव्हिअर
caving	n+n.गुहा शोध@v.खचत आहे
cavities	n.पोकळी
cavity	n+f.पोकळी
caw	v.कावकाव करणे@n+f.कावळ्याची ओरड
cay	n+m.खडकाळ बेट
cayenne	n+f.लाल मिरची
cayman	n+m.केमॅन
cayuga	n.कायुगा
cd	n+f.सीडी
cdr	n+m.सीडीआर
cease	vi.थांबणे@vt.बंद करणे
ceased	vi.थांबला
ceasefire	n+m.युद्धविराम
ceases	vi.थांबणे
ceasing	v.थांबत आहे
cebu	n.सेबू
cecelia	n+f.सेसेलिया
cecil	n+m.सेसिल
cecile	n+f.सेसिल
cecilia	n.सेसिलिया
cedar	n+m.देवदार
cedars	n.देवदार
ceded	v.सोडून दिले@a.समर्पित
cedi	n+m.सेडी
cedric	n.सेड्रिक
ceil	v.छत बसवणे@n+f.छत
ceiling	n+f.छत@n+m.कमाल मर्यादा
ceilings	n+f.कमाल मर्यादा
celeb	n+m.सेलिब्रिटी
celebrant	n+m.पुरोहित@n+m.उत्सव साजरा करणारा
celebrate	v.साजरा करणे@v.उत्सव करणे
celebrated	a.प्रसिद्ध@v.साजरा करणे
celebrates	vt.साजरा करतो
celebrating	v.साजरा करणे
celebration	n+f.उत्सव@n+m.सण
celebrations	n+f.उत्सव@n+n.समारंभ
celebratory	a.उत्सवी
celebrities	n+f.प्रसिद्ध व्यक्ती@n+m.सेलिब्रिटी
celebrity	n+m.सेलिब्रिटी
celebs	n+m.सेलिब्रिटी@n+f.प्रसिद्ध व्यक्ती
celery	n+f.सेलेरी
celeste	n.सेलेस्ट
celestial	a.खगोलीय
celia	n.सेलिया
celibacy	n+f.ब्रह्मचर्य
celina	n+f.सेलिना
cell	n+m.सेल@n+f.कोशिका
cellar	n+m.तळघर
cellars	n.तळघर
cellini	n+m.सेलिनी
cello	n+m.सेलो
cellophane	n+m.सेलोफेन
cellphone	n+m.मोबाइल फोन
cellphones	n.मोबाईल फोन
cells	n+f.पेशी
cellular	a.सेल्युलर
cellulite	n+n.सेल्युलाइट
celluloid	n+n.सेल्युलॉइड
cellulose	n+m.सेल्युलोज
celsius	n+m.सेल्सियस
celt	n+m.सेल्ट
celtic	a.सेल्टिक@n+m.सेल्टिक
celtics	n.सेल्टिक्स
celts	n+m+pl.केल्ट
cement	n+m.सिमेंट@vt.जोडणे
cemented	v.सिमेंट लावले@a.सिमेंट लावलेला
cements	v.मजबूत करतो@n+m.pl.सिमेंट
cemeteries	n+f.स्मशानभूमी
cemetery	n+n.स्मशान@n+f.कबरस्तान
cen	n+m.सेन
censor	n+m.सेन्सर@vt.सेन्सर करणे
censored	a.सेन्सॉर केलेला
censoring	v.सेन्सर करणे@n+n.सेन्सरशिप
censors	n+m+pl.सेन्सर@v.सेन्सर करतो
censorship	n+f.सेन्सॉरशिप
censure	n+f.निंदा@v.निंदा करणे
census	n+f.जनगणना
censuses	n.जनगणना
cent	n+m.सेंट
centaur	n+m.सेंटॉर
centenary	n+f.शताब्दी@a.शताब्दी
centennial	a.शताब्दी@n+f.शताब्दी
centimetres	n+m.सेंटिमीटर
centipede	n+f.गोम@n+f.शतपाद
centra	n+n.pl.केंद्रे
central	a.मध्य@a.केंद्रीय
centralia	n.सेंट्रालिया
centralised	a.केंद्रीकृत@v.केंद्रीकृत केले
centrality	n+f.केंद्रीयता
centralization	n+f.केंद्रीकरण
centralized	a.केंद्रीकृत
centrally	ad.केंद्रीयपणे
centre	n+n.केंद्र
centred	a.केंद्रित
centres	n+n.केंद्रे
centric	a.केंद्रित
centrifugal	a.केंद्रत्यागी
centrifuge	n+m.अपकेंद्रित्र@vt.अपकेंद्रित करणे
centrifuges	n+m.अपकेंद्रित्र
centrist	n.मध्यमार्गी@a.मध्यमार्गी
centroid	n+m.केंद्रबिंदू
centrum	n+n.केंद्र
cents	n+m.सेंट
centuries	n+f.शतके
centurion	n+m.शतकपती
century	n+n.शतक
ceramic	a.सिरॅमिक@n+f.मातीकाम
ceramics	n+f.सिरॅमिक्स@n+n.मातीची भांडी
cerberus	n.सर्बेरस
cereal	n+n.धान्य
cereals	n+m.तृणधान्य
cerebellar	a.लघुमस्तिष्कीय
cerebellum	n+n.लघुमस्तिष्क
cerebral	a.मेंदूचा@a.बौद्धिक
cerebrospinal	a.मेंदू व मणक्याचा
cerebrovascular	a.मेंदूवाहिनीसंबंधी
ceremonial	a.विधीपूर्ण
ceremonies	n+f.समारंभ
ceremony	n+f.समारंभ@n+m.विधी
ceres	n.सेरेस
cerf	n+m.सर्फ
cert	n+n.प्रमाणपत्र
certain	a.निश्चित
certainly	ad.नक्कीच
certainty	n+f.निश्चितता
certificate	n+n.प्रमाणपत्र
certificated	a.प्रमाणित
certificates	n+n.प्रमाणपत्रे
certification	n+f.प्रमाणन
certifications	n+f.प्रमाणपत्रे
certified	a.प्रमाणित
certifies	vt.प्रमाणित करणे
certify	vt.प्रमाणित करणे
certifying	vt.प्रमाणित करणे
certiorari	n+n.सर्शिओरारी
certs	n.प्रमाणपत्रे
cervantes	n.सर्व्हांटेस
cervical	a.ग्रीवा संबंधी
cervix	n+m.गर्भाशय मुख
cesar	n.सीझर
cesarean	n+n.सिझेरियन@a.सिझेरियन
cess	n+m.कर
cessation	n+f.थांबणे
cessna	n.सेस्ना
ceylon	n.सिलोन
cezanne	n+m.सेझान
cha	n+m.चा
chaco	n.चाको
chad	n+m.चाड
chadwick	n.चॅडविक
chaff	n+n.भुसा@n+f.कोंडा
chafing	v.घासणे@n+n.जळजळ
chagall	n+m.शागाल
chagrin	n+m.खेद@v.खेद वाटणे
chain	n+f.साखळी
chained	a.साखळदंडाने बांधलेला@v.साखळदंडाने बांधले
chaining	v.साखळीत बांधणे@n+n.शृंखलाबद्ध करणे
chains	n+f.साखळी@v.बांधतो
chainsaw	n+f.चेनसॉ
chair	n+f.खुर्ची@n+m.अध्यक्ष
chaired	vt.अध्यक्षता केली
chairing	v.अध्यक्षता करणे
chairman	n+m.अध्यक्ष
chairmanship	n+n.अध्यक्षपद
chairmen	n.अध्यक्ष
chairperson	n+m.अध्यक्ष
chairpersons	n+m.pl.अध्यक्ष
chairs	n+f.खुर्च्या
chairwoman	n+f.अध्यक्षा
chaise	n+f.शेझ लाँग
chalet	n+m.शॅलेट
chalets	n+m.शॅले
chalice	n+m.प्याला
chalk	n+f.खडू@vt.खडूने लिहिणे
chalkboard	n+m.फळा
challenge	n+f.आव्हान@vt.आव्हान देणे
challenged	v.आव्हान दिले@a.आव्हानित
challenger	n+m.आव्हानकर्ता
challengers	n+m+pl.आव्हानकर्ते
challenges	n+f.आव्हाने
challenging	a.आव्हानात्मक@v.आव्हान देणारा
chalmers	n.चाल्मर्स
cham	n.चाम
chamber	n+f.खोली@n+f.सभागृह
chamberlain	n+m.चेंबरलेन
chambers	n+f.खोल्या@n+m.कक्ष
chameleon	n+m.सरडा
chamois	n+m.शॅमी@n+f.शॅमी कातडे
chamomile	n+f.कॅमोमाइल
chamonix	n.शामोनी
champ	n+m.चॅम्पियन
champagne	n+n.शॅम्पेन
champaign	n+m.शॅम्पेन
champion	n+m.विजेता@n+m.चॅम्पियन
championed	v.समर्थन केले@a.विजेता
champions	n+m.विजेते@n+m.चॅम्पियन
championship	n+f.अजिंक्यपद स्पर्धा
championships	n+f.अजिंक्यपद स्पर्धा
champlain	n.शॅम्प्लेन
champs	n+m.चॅम्पियन
chan	n+m.चॅन
chance	n+f.संधी@n+m.योगायोग
chancellor	n+m.कुलपती@n+m.चान्सलर
chancellors	n+m.कुलगुरू
chancery	n+f.कुलसचिव कार्यालय
chances	n+f.संधी@n+m.शक्यता
chandelier	n+m.झुंबर
chandeliers	n.झुंबर
chandigarh	n.चंदीगड
chandler	n+m.चँडलर
chandlery	n+f.मेणबत्ती दुकान@n+n.जहाज साहित्य
chandra	n.चंद्रा
chanel	n+m.शॅनेल
chaney	n.चॅनी
chang	n+m.चांग
change	vt.बदलणे@n+m.बदल
changeable	a.बदलण्यायोग्य
changed	v.बदलले
changeover	n+m.बदल
changer	n+m.बदलणारा
changers	n.बदलणारे
changes	n+m.बदल
changing	v.बदलत
channel	n+m.चॅनल@n+f.वाहिनी
channels	n+m.चॅनेल
chanson	n+n.शान्सॉन
