reside	vi.cư trú
carnation	n.hoa cẩm chướng
carnations	n.hoa cẩm chướng
bluebonnet	n.hoa bluebonnet
poppies	n.hoa anh túc
primrose	n.hoa anh thảo
harmonies	n.hòa âm
coughs	n.ho@vt.ho
sump	n.hố thu
dockets	n.hồ sơ
dossier	n.hồ sơ
dossiers	n.hồ sơ
midwifery	n.hộ sinh
hunan	n.Hồ Nam
kinship	n.họ hàng
apologetics	n.hộ giáo
pertussis	n.ho gà
aquariums	n.hồ cá
histidine	n.histidine
histamine	n.histamine
hiram	n.Hiram
hippie	n.hippie
hippies	n.hippie
hinton	n.Hinton
torus	n.hình xuyến
speciation	n.hình thành loài
gestalt	n.hình thái
punishments	n.hình phạt
watermarks	n.hình mờ
hexagon	n.hình lục giác
geometries	n.hình học
ellipse	n.hình elip
visualisation	n.hình dung
rectangles	n.hình chữ nhật
cutout	n.hình cắt
cutouts	n.hình cắt
octagon	n.hình bát giác
holograms	n.hình ba chiều
visualizations	n.hình ảnh hóa
hindustan	n.Hindustan
hin	n.Hin
himalaya	n.Himalaya
hillingdon	n.Hillingdon
hilliard	n.Hilliard
hillel	n.Hillel
hildebrand	n.Hildebrand
hilda	n.Hilda
hilbert	n.Hilbert
headmaster	n.hiệu trưởng
headteacher	n.hiệu trưởng
drugstore	n.hiệu thuốc
drugstores	n.hiệu thuốc
bookshops	n.hiệu sách
calibrations	n.hiệu chuẩn
understandings	n.hiểu biết
templar	n.hiệp sĩ Templar
caballero	n.hiệp sĩ
chevalier	n.hiệp sĩ
covariance	n.hiệp phương sai
rapes	n.hiếp dâm
phenomenology	n.hiện tượng học
embodiments	n.hiện thân
constitutions	n.hiến pháp
sages	n.hiền nhân
patios	n.hiên nhà
porches	n.hiên nhà
veranda	n.hiên nhà
modernisation	n.hiện đại hóa
modernity	n.hiện đại
lanai	n.hiên
rarity	n.hiếm
hidalgo	n.Hidalgo
hickman	n.Hickman
hiawatha	n.Hiawatha
hialeah	n.Hialeah
hezekiah	n.Hezekiah
hezbollah	n.Hezbollah
heywood	n.Heywood
timeouts	n.hết giờ
heston	n.Heston
hester	n.Hester
hesse	n.Hesse
hertford	n.Hertford
herschel	n.Herschel
herrick	n.Herrick
herrera	n.Herrera
herr	n.Herr
herodotus	n.Herodotus
herod	n.Herod
herne	n.Herne
hermon	n.Hermon
heriot	n.Heriot
hera	n.Hera
hepburn	n.Hepburn
heparin	n.heparin
stenosis	n.hẹp
henson	n.Henson
hensley	n.Hensley
henrietta	n.Henrietta
hennessy	n.Hennessy
henna	n.henna
hendricks	n.Hendricks
hendrick	n.Hendrick
canyons	n.hẻm núi
gorges	n.hẻm núi
gulch	n.hẻm núi
gully	n.hẻm núi
ravine	n.hẻm núi
alleys	n.hẻm
helmut	n.Helmut
helms	n.Helms
helmholtz	n.Helmholtz
hellman	n.Hellman
hellas	n.Hellas
helios	n.Helios
helga	n.Helga
helene	n.Helene
hel	n.Hel
heisman	n.Heisman
heisenberg	n.Heisenberg
heinlein	n.Heinlein
heineken	n.Heineken
heine	n.Heine
heidegger	n.Heidegger
hegel	n.Hegel
hefner	n.Hefner
heep	n.Heep
hectare	n.hecta
hebron	n.Hebron
hebert	n.Hebert
heb	n.HEB
hearst	n.Hearst
heaney	n.Heaney
drivetrain	n.hệ thống truyền động
gds	n.hệ thống phân phối toàn cầu
sewerage	n.hệ thống cống
subsystems	n.hệ thống con
ramifications	n.hệ quả
chives	n.hẹ
jokers	n.hề
haywood	n.Haywood
hayek	n.Hayek
haydn	n.Haydn
haworth	n.Haworth
hawking	n.Hawking
hawke	n.Hawke
havre	n.Havre
havelock	n.Havelock
havel	n.Havel
habana	n.Havana
linebacker	n.hậu vệ biên
marquise	n.hầu tước phu nhân
suffixes	n.hậu tố
posterity	n.hậu thế
repercussions	n.hậu quả
descendant	n.hậu duệ
harem	n.hậu cung
oysters	n.hàu
hattie	n.Hattie
hatteras	n.Hatteras
hathaway	n.Hathaway
hatcher	n.Hatcher
hazelnut	n.hạt phỉ
pecan	n.hạt pecan
pecans	n.hạt pecan
nutmeg	n.hạt nhục đậu khấu
chestnuts	n.hạt dẻ
granules	n.hạt
particulates	n.hạt
hartmann	n.Hartmann
harte	n.Harte
harrods	n.Harrods
harriman	n.Harriman
harrell	n.Harrell
harpers	n.Harpers
harlow	n.Harlow
harland	n.Harland
haringey	n.Haringey
hargreaves	n.Hargreaves
harbin	n.Harbin
harare	n.Harare
adsorption	n.hấp phụ
attractiveness	n.hấp dẫn
hap	n.Hap
moat	n.hào nước
hanukkah	n.Hanukkah
hansel	n.Hansel
hannibal	n.Hannibal
hanks	n.Hanks
sodomy	n.hành vi tình dục đồng giới
wrongdoing	n.hành vi sai trái
shallots	n.hành tím
executions	n.hành quyết
felicity	n.hạnh phúc
almonds	n.hạnh nhân
hallways	n.hành lang
hangzhou	n.Hangzhou
burrow	n.hang@vt.đào hang
automakers	n.hãng sản xuất ô tô
palisades	n.hàng rào cọc
hedges	n.hàng rào
dens	n.hang ổ
firsts	n.hạng nhất
knockoffs	n.hàng nhái
durables	n.hàng lâu bền
contraband	n.hàng lậu
cargoes	n.hàng hóa
lading	n.hàng hóa
caverns	n.hang động
grotto	n.hang động
crotch	n.háng
groin	n.háng
burrows	n.hang
lair	n.hang
haney	n.Haney
welds	n.hàn@vt.hàn
droughts	n.hạn hán
hamza	n.Hamza
hampstead	n.Hampstead
hampden	n.Hampden
hammett	n.Hammett
hammerstein	n.Hammerstein
hammersmith	n.Hammersmith
hamm	n.Hamm
hamlin	n.Hamlin
hamiltonian	n.Hamiltonian
hamill	n.Hamill
connotations	n.hàm ý
dugout	n.hầm trú ẩn
cellars	n.hầm rượu
libido	n.ham muốn tình dục
catacombs	n.hầm mộ
dentures	n.hàm giả
fleets	n.hạm đội
silos	n.hầm chứa
halsey	n.Halsey
halliburton	n.Halliburton
halley	n.Halley
halide	n.halide
hales	n.Hales
hakim	n.Hakim
hajj	n.hajj
hainan	n.Hainan
haig	n.Haig
haifa	n.Haifa
fortnight	n.hai tuần
admiralty	n.hải quân
biennium	n.hai năm
walrus	n.hải mã
harmonisation	n.hài hòa
harmonization	n.hài hòa
gulls	n.hải âu
harmonics	n.hài
twos	n.hai
haggai	n.Haggai
hagar	n.Hagar
hadron	n.hadron
hadrian	n.Hadrian
hackney	n.Hackney
hackman	n.Hackman
ganglia	n.hạch thần kinh
haber	n.Haber
habakkuk	n.Habakkuk
haarlem	n.Haarlem
haar	n.Haar
xiamen	n.Hạ Môn
netherland	n.Hà Lan
hypotension	n.hạ huyết áp
hypoglycemia	n.hạ đường huyết
hypo	n.hạ
gwynedd	n.Gwynedd
gwyn	n.Gwyn
gwent	n.Gwent
gwendolyn	n.Gwendolyn
gwalior	n.Gwalior
guzman	n.Guzman
gutierrez	n.Gutierrez
gustavus	n.Gustavus
gustavo	n.Gustavo
gustav	n.Gustav
reflectors	n.gương phản chiếu
clogs	n.guốc@vt.tắc
gunther	n.Gunther
gunter	n.Gunter
gunnar	n.Gunnar
gulliver	n.Gulliver
guineas	n.guinea
guin	n.Guin
guillermo	n.Guillermo
guilders	n.guilder
guggenheim	n.Guggenheim
guevara	n.Guevara
guerrero	n.Guerrero
guerra	n.Guerra
guayaquil	n.Guayaquil
guarani	n.Guarani
guanajuato	n.Guanajuato
guan	n.Guan
guadalupe	n.Guadalupe
guadalajara	n.Guadalajara
grunge	n.grunge
grundy	n.Grundy
grumman	n.Grumman
grote	n.Grote
groningen	n.Groningen
gro	n.Gro
grinch	n.Grinch
grimsby	n.Grimsby
grimes	n.Grimes
grieg	n.Grieg
gretzky	n.Gretzky
gretel	n.Gretel
greta	n.Greta
gresham	n.Gresham
grenville	n.Grenville
grenoble	n.Grenoble
grendel	n.Grendel
gregorio	n.Gregorio
greenspan	n.Greenspan
greenock	n.Greenock
greco	n.Greco
graz	n.Graz
granola	n.granola
granger	n.Granger
grampian	n.Grampian
gramercy	n.Gramercy
grainger	n.Grainger
grahame	n.Grahame
graf	n.Graf
gradients	n.gradient
gracie	n.Gracie
graceland	n.Graceland
goya	n.Goya
gower	n.Gower
goudy	n.Goudy
gosport	n.Gosport
gosling	n.Gosling
goshen	n.Goshen
gorey	n.Gorey
gorbachev	n.Gorbachev
goodrich	n.Goodrich
goodall	n.Goodall
gonzo	n.Gonzo
ripple	n.gợn sóng@vt.gợn sóng
ripples	n.gợn sóng
goliath	n.Goliath
golgi	n.Golgi
golem	n.Golem
goldwater	n.Goldwater
goldstone	n.Goldstone
golding	n.Golding
goldie	n.Goldie
goldeneye	n.Goldeneye
headrests	n.gối đầu
pkt	n.gói
goff	n.Goff
goethe	n.Goethe
godwin	n.Godwin
godiva	n.Godiva
godard	n.Godard
stumps	n.gốc cây
stubs	n.gốc
widows	n.góa phụ
burl	n.gỗ nút
softwood	n.gỗ mềm
sandalwood	n.gỗ đàn hương
hardwoods	n.gỗ cứng
balsa	n.gỗ balsa
ledge	n.gờ
ledges	n.gờ
timbers	n.gỗ
knoll	n.gò
mounds	n.gò
glycoprotein	n.glycoprotein
glycoproteins	n.glycoprotein
glycol	n.glycol
glycogen	n.glycogen
glycine	n.glycine
glycerol	n.glycerol
glutathione	n.glutathione
glutamine	n.glutamine
glutamate	n.glutamate
gluck	n.Gluck
glaucoma	n.glôcôm
immunoglobulins	n.globulin miễn dịch
glenna	n.Glenna
glenda	n.Glenda
glencoe	n.Glencoe
gleason	n.Gleason
glaxo	n.Glaxo
glastonbury	n.Glastonbury
glassman	n.Glassman
glaser	n.Glaser
giza	n.Giza
givens	n.Givens
berth	n.giường nằm
cots	n.giường cũi
nematode	n.giun tròn
nematodes	n.giun tròn
giuliani	n.Giuliani
midweek	n.giữa tuần
midday	n.giữa trưa
midterm	n.giữa kỳ
midsummer	n.giữa hè
placeholder	n.giữ chỗ
gish	n.Gish
giselle	n.Giselle
gisborne	n.Gisborne
giro	n.giro
teardrop	n.giọt nước mắt
droplet	n.giọt nhỏ
raindrops	n.giọt mưa
droplets	n.giọt
cultivar	n.giống trồng
cultivars	n.giống trồng
basses	n.giọng trầm
tenors	n.giọng tenor
baritone	n.giọng nam trung
likeness	n.giống
resemblance	n.giống
thunderstorm	n.giông
prepositions	n.giới từ
elites	n.giới tinh hoa
genders	n.giới tính
gentry	n.giới quý tộc
precept	n.giới luật
precepts	n.giới luật
gaskets	n.gioăng
primetime	n.giờ vàng
breezes	n.gió nhẹ
halftime	n.giờ nghỉ giữa trận
gales	n.gió mạnh
intermission	n.giờ giải lao
recesses	n.giờ giải lao
playtime	n.giờ chơi
lunchtime	n.giờ ăn trưa
ginsburg	n.Ginsburg
ginsberg	n.Ginsberg
gino	n.Gino
ginny	n.Ginny
gingrich	n.Gingrich
gilson	n.Gilson
gilman	n.Gilman
gilligan	n.Gilligan
gillies	n.Gillies
gilliam	n.Gilliam
gilgamesh	n.Gilgamesh
gilead	n.Gilead
gilda	n.Gilda
gilchrist	n.Gilchrist
gilberto	n.Gilberto
gila	n.Gila
gigabytes	n.gigabyte
gushers	n.giếng dầu phun
rags	n.giẻ rách
gideon	n.Gideon
gid	n.Gid
sneaker	n.giày thể thao
blotter	n.giấy thấm
oxfords	n.giày Oxford
loafers	n.giày lười
newsprint	n.giấy in báo
casuals	n.giày giản dị
snowshoes	n.giày đi tuyết
parchment	n.giấy da
papyrus	n.giấy cói
stiletto	n.giày cao gót nhọn
crustaceans	n.giáp xác
dons	n.giáo sư
mullahs	n.giáo sĩ Hồi giáo
jesuit	n.giáo sĩ Dòng Tên
rabbis	n.giáo sĩ Do Thái
cleric	n.giáo sĩ
clerics	n.giáo sĩ
cults	n.giáo phái
denominations	n.giáo phái
sects	n.giáo phái
catechism	n.giáo lý
canons	n.giáo luật
reassignment	n.giao lại
symphonies	n.giao hưởng
popes	n.giáo hoàng
civics	n.giáo dục công dân
presbytery	n.giáo đoàn
dogma	n.giáo điều
layman	n.giáo dân
parishioners	n.giáo dân
pikes	n.giáo
syphilis	n.giang mai
tribulation	n.gian truân
tribulations	n.gian truân
testbed	n.giàn thử nghiệm
trellis	n.giàn leo
frauds	n.gian lận
rigs	n.giàn khoan@vt.lắp ráp
pavilions	n.gian hàng
nave	n.gian giữa nhà thờ
scaffolding	n.giàn giáo
discontinuities	n.gián đoạn
discontinuity	n.gián đoạn
disruptions	n.gián đoạn
hiatus	n.gián đoạn
interlude	n.gián đoạn
interruptions	n.gián đoạn
espionage	n.gián điệp
bower	n.giàn cây
minimization	n.giảm thiểu
deflation	n.giảm phát
guardianship	n.giám hộ
detentions	n.giam giữ
incarceration	n.giam giữ
execs	n.giám đốc điều hành
superintendents	n.giám đốc
analgesia	n.giảm đau
captivity	n.giam cầm
hams	n.giăm bông
amusements	n.giải trí
entertainments	n.giải trí
recreations	n.giải trí
deliverance	n.giải thoát
anecdote	n.giai thoại
anecdotes	n.giai thoại
emancipation	n.giải phóng
disbursement	n.giải ngân
disbursements	n.giải ngân
decryption	n.giải mã
jackpots	n.giải độc đắc
detoxification	n.giải độc
tourney	n.giải đấu
deconstruction	n.giải cấu trúc
bourgeoisie	n.giai cấp tư sản
aristocracy	n.giai cấp quý tộc
siesta	n.giấc ngủ trưa
naps	n.giấc ngủ ngắn
epiphany	n.giác ngộ
cornea	n.giác mạc
condiments	n.gia vị
seasoning	n.gia vị
seasonings	n.gia vị
easel	n.giá vẽ
easels	n.giá vẽ
eigenvalues	n.giá trị riêng
outliers	n.giá trị ngoại lai
pedigrees	n.gia phả
accessions	n.gia nhập
renewals	n.gia hạn
mountings	n.giá đỡ
metalworking	n.gia công kim loại
fowl	n.gia cầm
heirloom	n.gia bảo
bushels	n.giạ
enrolments	n.ghi danh
aversion	n.ghét
grafts	n.ghép@vt.ghép
montage	n.ghép hình
pairings	n.ghép đôi
concatenation	n.ghép chuỗi
ghent	n.Ghent
disgust	n.ghê tởm@vt.gây ghê tởm
backseat	n.ghế sau
recliners	n.ghế ngả
pew	n.ghế dài ở nhà thờ
chaise	n.ghế dài
couches	n.ghế dài
divan	n.ghế dài
armchairs	n.ghế bành
ghazi	n.Ghazi
gestapo	n.Gestapo
gesellschaft	n.Gesellschaft
gershwin	n.Gershwin
geronimo	n.Geronimo
germantown	n.Germantown
gerhard	n.Gerhard
gere	n.Gere
gerardo	n.Gerardo
geraldine	n.Geraldine
georgina	n.Georgina
geol	n.GEOL
genova	n.Genova
genghis	n.Genghis
genevieve	n.Genevieve
oncogene	n.gen ung thư
gemma	n.Gemma
geller	n.Geller
gelatin	n.gelatin
geiger	n.Geiger
gehrig	n.Gehrig
geffen	n.Geffen
geelong	n.Geelong
gdansk	n.Gdansk
gaylord	n.Gaylord
gayle	n.Gayle
gaya	n.Gaya
birdie	n.gậy ở dưới par
withers	n.gáy ngựa@vt.héo úa
anaesthesia	n.gây mê
putter	n.gậy golf@vt.loanh quanh
putters	n.gậy golf
mutagenesis	n.gây đột biến
canes	n.gậy
gautier	n.Gautier
gauss	n.gauss
gaul	n.Gaul
gauguin	n.Gauguin
grizzlies	n.gấu xám
wombat	n.gấu túi wombat
koala	n.gấu túi
raccoons	n.gấu trúc Mỹ
coon	n.gấu trúc
pandas	n.gấu trúc
raccoon	n.gấu trúc
bearcats	n.gấu mèo
teddies	n.gấu bông
bruin	n.gấu
gatsby	n.Gatsby
gats	n.Gats
gateshead	n.Gateshead
ashtrays	n.gạt tàn
wipers	n.gạt nước
nods	n.gật đầu
gat	n.GAT
gaspar	n.Gaspar
garza	n.Garza
garvey	n.Garvey
garrick	n.Garrick
garnett	n.Garnett
garibaldi	n.Garibaldi
garfunkel	n.Garfunkel
gardiner	n.Gardiner
garda	n.Garda
gard	n.Gard
garamond	n.Garamond
treble	n.gấp ba@vt.gấp ba
ganymede	n.Ganymede
onus	n.gánh nặng
gangsta	n.gangster
gangster	n.gangster
ganges	n.Ganges
muff	n.găng tay@vt.làm hỏng
gauntlet	n.găng tay
mittens	n.găng tay
mitts	n.găng tay
gandalf	n.Gandalf
tendon	n.gân
tendons	n.gân
livers	n.gan
gambier	n.Gambier
gama	n.Gama
galois	n.Galois
gallup	n.Gallup
gallo	n.Gallo
gallegos	n.Gallegos
galle	n.Galle
galilee	n.Galilee
galicia	n.Galicia
galen	n.Galen
galbraith	n.Galbraith
gainsborough	n.Gainsborough
gaines	n.Gaines
gaiman	n.Gaiman
barbs	n.gai@vt.châm biếm
bimbo	n.gái xinh
prostitute	n.gái mại dâm
hookers	n.gái điếm
prostitutes	n.gái điếm
spines	n.gai
thorns	n.gai
gael	n.Gael
gadsden	n.Gadsden
lofts	n.gác xép
compresses	n.gạc nén@vt.nén
garret	n.gác mái
antlers	n.gạc hươu
gauze	n.gạc
swabs	n.gạc
gaby	n.Gaby
gabriela	n.Gabriela
gaborone	n.Gaborone
roosters	n.gà trống
turkeys	n.gà tây
broiler	n.gà nướng
hens	n.gà mái
grouse	n.gà gô@vt.phàn nàn
termini	n.ga cuối
gamecocks	n.gà chiến
furness	n.Furness
fundy	n.Fundy
funchal	n.Funchal
fulbright	n.Fulbright
fukuoka	n.Fukuoka
fuentes	n.Fuentes
fuchs	n.Fuchs
frye	n.Frye
fructose	n.fructose
frs	n.FRS
frontenac	n.Frontenac
fromm	n.Fromm
frodo	n.Frodo
frito	n.Frito
frith	n.Frith
frisch	n.Frisch
frigidaire	n.Frigidaire
frieda	n.Frieda
freya	n.Freya
fresnel	n.Fresnel
fremantle	n.Fremantle
freiburg	n.Freiburg
frei	n.Frei
freedman	n.Freedman
fredrick	n.Fredrick
fredericton	n.Fredericton
freda	n.Freda
frazier	n.Frazier
frazer	n.Frazer
fraunhofer	n.Fraunhofer
frankfort	n.Frankfort
frankel	n.Frankel
franconia	n.Franconia
francoise	n.Francoise
franck	n.Franck
francine	n.Francine
francesca	n.Francesca
fractals	n.fractal
foucault	n.Foucault
fostoria	n.Fostoria
fortuna	n.Fortuna
fortaleza	n.Fortaleza
forster	n.Forster
formosa	n.Formosa
formaldehyde	n.formaldehyde
forint	n.forint
fontainebleau	n.Fontainebleau
fonda	n.Fonda
folsom	n.Folsom
folkestone	n.Folkestone
folios	n.folio
fol	n.FOL
fokker	n.Fokker
fogdog	n.Fogdog
fms	n.FMS
florsheim	n.Florsheim
florin	n.florin
flor	n.Flor
flintstones	n.Flintstones
flintshire	n.Flintshire
flinders	n.Flinders
fleury	n.Fleury
fleischer	n.Fleischer
flanders	n.Flanders
flanagan	n.Flanagan
fitzroy	n.Fitzroy
fisk	n.Fisk
firth	n.Firth
firestone	n.Firestone
firenze	n.Firenze
finney	n.Finney
finnegan	n.Finnegan
finley	n.Finley
fillmore	n.Fillmore
fila	n.Fila
figueroa	n.Figueroa
figaro	n.Figaro
fiedler	n.Fiedler
fido	n.Fido
fidel	n.Fidel
fibonacci	n.Fibonacci
fianna	n.Fianna
feynman	n.Feynman
ferrite	n.ferrite
ferrell	n.Ferrell
ferrara	n.Ferrara
fermions	n.fermion
fermi	n.Fermi
fermanagh	n.Fermanagh
fergus	n.Fergus
fer	n.Fer
fellini	n.Fellini
felipe	n.Felipe
felicia	n.Felicia
federico	n.Federico
fec	n.FEC
fawkes	n.Fawkes
faust	n.Faust
faure	n.Faure
fatima	n.Fatima
fatah	n.Fatah
faro	n.Faro
farley	n.Farley
faridabad	n.Faridabad
faraday	n.Faraday
fantom	n.Fantom
fantasia	n.Fantasia
fandango	n.fandango
fanboy	n.fan cuồng
groupies	n.fan cuồng
falwell	n.Falwell
falstaff	n.Falstaff
falklands	n.Falklands
falkirk	n.Falkirk
faisal	n.Faisal
faeroe	n.Faeroe
fabian	n.Fabian
faberge	n.Faberge
eyre	n.Eyre
exxon	n.Exxon
exons	n.exon
excelsior	n.Excelsior
evita	n.Evita
evian	n.Evian
evesham	n.Evesham
eves	n.Eves
evert	n.Evert
everglades	n.Everglades
evangeline	n.Evangeline
eurythmics	n.Eurythmics
euphrates	n.Euphrates
eunice	n.Eunice
euler	n.Euler
eugenio	n.Eugenio
eugenia	n.Eugenia
euclid	n.Euclid
etta	n.Etta
eton	n.Eton
etobicoke	n.Etobicoke
etna	n.Etna
ethylene	n.ethylene
eth	n.Eth
estrada	n.Estrada
estes	n.Estes
estelle	n.Estelle
estella	n.Estella
esteban	n.Esteban
esters	n.este
essen	n.Essen
esquire	n.Esquire
espoo	n.Espoo
esperanza	n.Esperanza
esperanto	n.Esperanto
esperance	n.Esperance
escher	n.Escher
escalade	n.Escalade
esau	n.Esau
erythromycin	n.erythromycin
ervin	n.Ervin
erskine	n.Erskine
errol	n.Errol
ernesto	n.Ernesto
erma	n.Erma
ericson	n.Ericson
erick	n.Erick
erich	n.Erich
erg	n.erg
erasmus	n.Erasmus
epsom	n.Epsom
epinephrine	n.epinephrine
ephraim	n.Ephraim
ephesus	n.Ephesus
ephedrine	n.ephedrine
eph	n.Eph
epcot	n.Epcot
extrusion	n.ép đùn
coercion	n.ép buộc
eocene	n.Eocene
enrico	n.Enrico
enos	n.Enos
enoch	n.Enoch
ennis	n.Ennis
enid	n.Enid
engr	n.ENGR
engels	n.Engels
enesco	n.Enesco
endnote	n.EndNote
endicott	n.Endicott
enc	n.ENC
emusic	n.eMusic
emmett	n.Emmett
emmet	n.Emmet
emir	n.emiri
emilio	n.Emilio
emilie	n.Emilie
emilia	n.Emilia
emile	n.Emile
emil	n.Emil
emf	n.EMF
embarcadero	n.Embarcadero
emanuel	n.Emanuel
elysium	n.Elysium
elwood	n.Elwood
elvira	n.Elvira
elvin	n.Elvin
elsinore	n.Elsinore
elsie	n.Elsie
elsa	n.Elsa
els	n.Els
eloise	n.Eloise
elma	n.Elma
ellyn	n.Ellyn
ellsworth	n.Ellsworth
ellie	n.Ellie
eliz	n.Eliz
elisha	n.Elisha
elise	n.Elise
elgar	n.Elgar
eldon	n.Eldon
elbert	n.Elbert
elba	n.Elba
elam	n.Elam
eisner	n.Eisner
eire	n.Eire
eindhoven	n.Eindhoven
eidos	n.Eidos
eide	n.Eide
ehrlich	n.Ehrlich
eggers	n.Eggers
effie	n.Effie
eeyore	n.Eeyore
edson	n.Edson
edsel	n.Edsel
edom	n.Edom
edo	n.Edo
ede	n.Ede
ecclesiastes	n.Ecclesiastes
eccles	n.Eccles
ebert	n.Ebert
eben	n.Eben
eastbourne	n.Eastbourne
earp	n.Earp
earle	n.Earle
earhart	n.Earhart
ealing	n.Ealing
vise	n.ê tô
dwayne	n.Dwayne
dvorak	n.Dvorak
traversal	n.duyệt
dusseldorf	n.Dusseldorf
durex	n.Durex
durante	n.Durante
durant	n.Durant
duracell	n.Duracell
dup	n.DUP
bracken	n.dương xỉ
ferns	n.dương xỉ
detour	n.đường vòng@vt.đi vòng
bypasses	n.đường vòng@vt.bỏ qua
neckline	n.đường viền cổ
dildoes	n.dương vật giả
penises	n.dương vật
beltway	n.đường vành đai
yangtze	n.Dương Tử
waterway	n.đường thủy
monorail	n.đường ray đơn
byways	n.đường phụ
inseam	n.đường may trong
driveways	n.đường lái xe vào nhà
diam	n.đường kính
diameters	n.đường kính
racetrack	n.đường đua
hotlines	n.đường dây nóng
cordon	n.đường dây cảnh sát@vt.phong tỏa
causeway	n.đường đắp
pathname	n.đường dẫn
contemporaries	n.đương đại
spline	n.đường cong spline
splines	n.đường cong
baselines	n.đường cơ sở
fairways	n.đường chơi golf
expressway	n.đường cao tốc
freeways	n.đường cao tốc
motorways	n.đường cao tốc
shorelines	n.đường bờ biển
roadways	n.đường bộ
sidelines	n.đường biên@vt.loại bỏ
runways	n.đường băng
torches	n.đuốc
dunstan	n.Dunstan
dunstable	n.Dunstable
dunne	n.Dunne
dunlap	n.Dunlap
dunkirk	n.Dunkirk
dungannon	n.Dungannon
tolerances	n.dung sai
visage	n.dung nhan
decency	n.đứng đắn
spreader	n.dụng cụ rải
openers	n.dụng cụ mở
stapler	n.dụng cụ ghim
bravery	n.dũng cảm
dunfermline	n.Dunfermline
dundalk	n.Dundalk
dunbar	n.Dunbar
extrusions	n.đùn
dumbledore	n.Dumbledore
dumbarton	n.Dumbarton
dumas	n.Dumas
duma	n.Duma
dulles	n.Dulles
duisburg	n.Duisburg
chisel	n.đục@vt.đục
chisels	n.đục@vt.đục
lusts	n.dục vọng@vt.ham muốn
faiths	n.đức tin
cataract	n.đục thủy tinh thể
cataracts	n.đục thủy tinh thể
castings	n.đúc
dubuque	n.Dubuque
dubrovnik	n.Dubrovnik
motocross	n.đua xe vượt địa hình
motorcycling	n.đua xe mô tô
brat	n.đứa trẻ hư
wands	n.đũa phép
watermelon	n.dưa hấu
cucumbers	n.dưa chuột
pickles	n.dưa chua
chopsticks	n.đũa
melons	n.dưa
stockpile	n.dự trữ@vt.dự trữ
stockpiles	n.dự trữ@vt.dự trữ
abundances	n.dư thừa
redundancies	n.dư thừa
fallback	n.dự phòng
paragliding	n.dù lượn
travelogues	n.du ký
guerilla	n.du kích
guerrillas	n.du kích
goons	n.du côn
parachutes	n.dù
dryden	n.Dryden
drudge	n.Drudge
droit	n.Droit
dreyfus	n.Dreyfus
drayton	n.Drayton
drakensberg	n.Drakensberg
draco	n.Draco
dpt	n.DPT
doubleday	n.Doubleday
douay	n.Douay
instalment	n.đợt trả góp
vertebrae	n.đốt sống
breakaway	n.đột phá@a.tách ra
breakthroughs	n.đột phá
arson	n.đốt phá
knuckle	n.đốt ngón tay
knuckles	n.đốt ngón tay
heatwave	n.đợt nắng nóng
dostoevsky	n.Dostoevsky
dortmund	n.Dortmund
dorsey	n.Dorsey
dorothea	n.Dorothea
dorking	n.Dorking
dorian	n.Dorian
doreen	n.Doreen
dore	n.Dore
dordrecht	n.Dordrecht
dordogne	n.Dordogne
dor	n.Dor
doolittle	n.Doolittle
dooley	n.Dooley
donny	n.Donny
donner	n.Donner
donnell	n.Donnell
donne	n.Donne
donnas	n.Donna
donn	n.Donn
dongle	n.dongle
heaps	n.đống@vt.chất đống
assent	n.đồng ý@vt.đồng ý
