a	art+m.un@art+f.una
busty	a+m.pechugona@a+f.pechugona
busy	a+m.ocupado@a+f.ocupada
but	conj.pero
butadiene	n+m.butadieno
butane	n+m.butano
butch	a.masculino@a+f.masculina@n+m.Butch
butcher	n+m.carnicero@vt.masacrar
butchers	n+m+pl.carniceros@n+f+pl.carniceras
bute	n+m.Bute
butler	n+m.mayordomo
butt	n+m.trasero
butte	n+m.cerro
butter	n+f.mantequilla
buttercup	n+m.ranúnculo@n+m.botón de oro
buttered	a.con mantequilla@vt.untó con mantequilla
butterflies	n+f+pl.mariposas
butterfly	n+f.mariposa
buttermilk	n+m.suero de leche
butternut	n+f.nuez de nogal blanco
butters	vt.unta con mantequilla@n+m.Butters
butterscotch	n+m.caramelo de mantequilla
buttery	a+m.mantecoso@a+f.mantecosa
buttocks	n+f+pl.nalgas@n+m+pl.glúteos
button	n+m.botón
buttoned	a+m.abotonado@a+f.abotonada@vt.abotonó
buttons	n+m.botones
buttress	n+m.contrafuerte@vt.reforzar
butts	n+m.traseros
butyl	n+m.butilo
buxom	a+m.voluptuoso@a+f.voluptuosa
buy	v.comprar
buyback	n+f.recompra
buyer	n+m.comprador@n+f.compradora
buyers	n+m.compradores
buying	v.comprando
buyout	n+f.compra@n+f.adquisición
buys	vt.compra
buzz	n+m.zumbido@vi.zumbar
buzzard	n+m.ratonero@n+m.buitre
buzzer	n+m.timbre@n+m.zumbador
buzzing	vi.zumbando@n+m.zumbido
buzzword	n+f.palabra de moda@n+m.término de moda
buzzwords	n+f+pl.palabras de moda
by	prep.por
byblos	n+m.Biblos
bye	int.adiós
byers	n+m.Byers
bygone	a+m.pasado@a+f.pasada@n+m.pasado
bylaw	n+m.estatuto@n+f.ordenanza
bylaws	n+m+pl.estatutos
byline	n+f.línea de autor@n+f.firma
bypass	n+m.bypass@vt.eludir
bypassed	vt.eludió@a+m.eludido@a+f.eludida
bypasses	n+m+pl.bypass@vt.evita
bypassing	vt.evitando@vt.pasando por alto
byproduct	n+m.subproducto
byproducts	n+m+pl.subproductos
byrd	n+m.Byrd
byron	n+m.Byron
bystander	n+m.espectador@n+m.transeúnte
bystanders	n+m+pl.espectadores@n+m+pl.transeúntes
byte	n+m.byte
bytes	n+m.bytes
byway	n+m.camino secundario
byways	n+m+pl.caminos secundarios
byzantine	a+m.bizantino@a+f.bizantina
byzantium	n+m.Bizancio
cab	n+m.taxi@n+f.cabina
cabal	n+f.cábala@n+f.conspiración
caballero	n+m.caballero
cabana	n+f.cabaña
cabanas	n+f+pl.cabañas
cabaret	n+m.cabaret
cabbage	n+f.col@n+m.repollo
cabernet	n+m.cabernet
cabin	n+f.cabaña@n+f.cabina
cabinet	n+m.gabinete
cabinetry	n+f.ebanistería
cabinets	n+m.gabinetes@n+m.armarios
cabins	n+f+pl.cabañas@n+f+pl.cabinas
cable	n+m.cable
cables	n+m.cables
cablevision	n+f.Cablevision
cabling	n+m.cableado
cabochon	n+m.cabujón
caboose	n+m.furgón de cola
cabot	n+m.Cabot
cabrera	n+m.Cabrera
cabriolet	n+m.cabriolé@n+m.descapotable
cabs	n+m+pl.taxis@n+f+pl.cabinas
cacao	n+m.cacao
cache	n+m.caché
cached	a+m.almacenado en caché@a+f.almacenada en caché
caches	n+f+pl.memorias caché@n+m+pl.escondites
cachet	n+m.caché@n+m.prestigio
caching	n+m.almacenamiento en caché
cacti	n+m+pl.cactus
cactus	n+m.cactus
cad	n+m.CAD
cadastre	n+m.catastro
cadaver	n+m.cadáver
caddie	n+m.caddie@n+m.cadi
caddies	n+m+pl.caddies@n+f+pl.cajas de té
cade	n+m.Cade
cadence	n+f.cadencia
cadet	n+m.cadete
cadets	n+m+pl.cadetes
cadillac	n+m.Cadillac
cadiz	n+m.Cádiz
cadmium	n+m.cadmio
cadre	n+m.cuadro@n+m.grupo selecto
cadres	n+m+pl.cuadros
caen	n+f.Caen
caerphilly	n+m.Caerphilly
caesar	n+m.César
caesars	n+m+pl.Césares
cafe	n+m.café
cafes	n+m+pl.cafés
cafeteria	n+f.cafetería
caffeine	n+f.cafeína
cage	n+f.jaula
caged	a+m.enjaulado@a+f.enjaulada
cages	n+f+pl.jaulas
cagliari	n+m.Cagliari
cagney	n+m.Cagney
cain	n+m.Caín
caine	n+m.Caine
cairn	n+m.mojón de piedras
cairns	n+m.Cairns
cairo	n+m.El Cairo
caithness	n+m.Caithness
caitlin	n+f.Caitlin
cajun	a.cajún@n+m.cajún
cake	n+m.pastel@n+f.torta
cakes	n+m.pasteles
cakewalk	n+m.paseo@n+f.cosa fácil
cal	n+f.caloría
calabria	n+f.Calabria
calais	n+m.Calais
calamari	n+m+pl.calamares
calamities	n+f+pl.calamidades
calamity	n+f.calamidad@n+m.desastre
calcareous	a+m.calcáreo@a+f.calcárea
calcite	n+f.calcita
calcium	n+m.calcio
calculate	v.calcular
calculated	a+m.calculado@a+f.calculada@v.calculó
calculates	vt.calcula
calculating	a+m.calculador@a+f.calculadora@v.calculando
calculation	n+m.cálculo
calculations	n+m.cálculos
calculator	n+f.calculadora
calculators	n+f.calculadoras
calculi	n+m+pl.cálculos
calculus	n+m.cálculo
calcutta	n+f.Calcuta
calder	n+m.Calder
caldera	n+f.caldera
calderon	n+m.Calderón
caldwell	n+m.Caldwell
caleb	n+m.Caleb
caledonia	n+f.Caledonia
caledonian	a+m.caledoniano@a+f.caledoniana
calendar	n+m.calendario
calendaring	n+f.calendarización
calendars	n+m.calendarios
calender	n+f.calandria@vt.calandrar
calendula	n+f.caléndula
calf	n+m.ternero@n+f.pantorrilla
calgary	n+m.Calgary
calhoun	n+m.Calhoun
cali	n+m.Cali
calibrate	vt.calibrar
calibrated	a+m.calibrado@a+f.calibrada@vt.calibró
calibrating	vt.calibrando
calibration	n+f.calibración
calibrations	n+f+pl.calibraciones
calibrator	n+m.calibrador
calibre	n+m.calibre
calico	n+m.calicó@a.atigrado
calicut	n+m.Calicut
calif	n+m.califa
california	n+f.California
californian	a+m.californiano@a+f.californiana@n+m.californiano@n+f.californiana
californians	n+m+pl.californianos
caligula	n+m.Calígula
caliper	n+m.calibrador@n+m.compás de espesor
calipers	n+m+pl.calibradores@n+m+pl.compases
caliph	n+m.califa
call	n+f.llamada@v.llamar
calla	n+f.cala
callable	a.exigible@a.invocable
callaghan	n+m.Callaghan
callahan	n+m.Callahan
callas	n+f.Callas
callback	n+f.devolución de llamada@n+m.callback
callbacks	n+f+pl.devoluciones de llamada
called	v.llamó@a+m.llamado@a+f.llamada
caller	n+m.llamante@n+f.llamante
callers	n+m+pl.llamantes
callie	n+f.Callie
calligraphy	n+f.caligrafía
calling	n+f.llamada@v.llamando
calliope	n+f.Calíope@n+m.calíope
callisto	n+f.Calisto
callous	a+m.insensible@a+f.insensible@a.despiadado
calls	n+f.llamadas@v.llama
calm	a+m.tranquilo@a+f.tranquila@n+f.calma
calmed	vt.calmó@a+m.calmado@a+f.calmada
calmer	a.más tranquilo
calming	a.calmante@vt.calmando
calmly	ad.tranquilamente@ad.con calma
calmness	n+f.calma@n+f.tranquilidad
calms	vt.calma@n+f+pl.calmas
caloric	a+m.calórico@a+f.calórica
calorie	n+f.caloría
calories	n+f.calorías
calorimeter	n+m.calorímetro
calumet	n+m.calumet
calvary	n+m.Calvario
calvert	n+m.Calvert
calves	n+m+pl.terneros@n+f+pl.pantorrillas
calvin	n+m.Calvin
calving	n+f.parición@vi.pariendo
calypso	n+m.calipso
calyx	n+m.cáliz
cam	n+f.cámara
camacho	n+m.Camacho
camaraderie	n+f.camaradería
camber	n+m.combado@n+f.curvatura
cambodia	n+f.Camboya
cambodian	a+m.camboyano@a+f.camboyana@n+m.camboyano@n+f.camboyana
cambria	n+f.Cambria
cambrian	a+m.cámbrico@a+f.cámbrica
cambridge	n+m.Cambridge
cambridgeshire	n+m.Cambridgeshire
camcorder	n+f.videocámara
camcorders	n+f.videocámaras
camden	n+m.Camden
came	v.vino
camel	n+m.camello
camelback	n+f.joroba de camello@a.en forma de joroba
camellia	n+f.camelia
camelot	n+m.Camelot
camels	n+m+pl.camellos
cameo	n+m.cameo
cameos	n+m+pl.cameos
camera	n+f.cámara
cameraman	n+m.camarógrafo
cameras	n+f.cámaras
cameron	n+m.Cameron
cameroon	n+m.Camerún
camilla	n+f.Camila
camille	n+f.Camille
camisole	n+f.camisola
camisoles	n+f+pl.camisolas
camouflage	n+m.camuflaje@vt.camuflar
camp	n+m.campamento@v.acampar
campaign	n+f.campaña
campaigned	vi.hizo campaña
campaigner	n+m.activista@n+m.militante
campaigners	n+m+pl.activistas@n+m+pl.militantes
campaigning	v.haciendo campaña@n+f.campaña
campaigns	n+f.campañas
campania	n+f.Campania
campanile	n+m.campanario
campbell	n+m.Campbell
camped	vi.acampó@a+m.acampado@a+f.acampada
camper	n+m.campista@n+f.autocaravana
campers	n+m+pl.campistas@n+f+pl.autocaravanas
campfire	n+f.fogata
campfires	n+f+pl.fogatas
campground	n+m.camping
campgrounds	n+m+pl.campamentos
camping	n+m.camping@n+f.acampada
campion	n+m.Campion@n+f.colleja
campo	n+m.campo
campos	n+m.Campos
camps	n+m.campamentos
campsite	n+m.camping@n+m.campamento
campsites	n+m+pl.campings
campus	n+m.campus
campuses	n+m+pl.campus
campy	a+m.exageradamente afectado@a+f.exageradamente afectada
camry	n+m.Camry
cams	n+f.cámaras
camshaft	n+m.árbol de levas
camus	n+m.Camus
can	v.poder@n+f.lata
cana	n+f.Caná
canaan	n+m.Canaán
canada	n+m.Canadá
canadian	a+m.canadiense@a+f.canadiense
canadians	n+m+pl.canadienses
canal	n+m.canal
canals	n+m+pl.canales
canaries	n+m+pl.canarios
canary	n+m.canario@n+f+pl.Canarias
canasta	n+f.canasta
canaveral	n+m.Cañaveral
canberra	n+f.Canberra
cancel	v.cancelar
cancellation	n+f.cancelación
cancellations	n+f+pl.cancelaciones
cancelled	a+m.cancelado@a+f.cancelada
cancelling	vt.cancelando
cancels	vt.cancela
cancer	n+m.cáncer
cancerous	a+m.canceroso@a+f.cancerosa
cancers	n+m+pl.cánceres
cancun	n+m.Cancún
candace	n+f.Candace
candela	n+f.candela
candelabra	n+m.candelabro
candice	n+f.Candice
candid	a+m.cándido@a+f.cándida
candida	n+f.cándida@n+f.Candida
candidacy	n+f.candidatura
candidate	n+m.candidato@n+f.candidata
candidates	n+m.candidatos
candied	a+m.confitado@a+f.confitada@a+m.escarchado@a+f.escarchada
candies	n+m+pl.caramelos@n+f+pl.golosinas
candle	n+f.vela
candlelight	n+f.luz de velas
candler	n+m.ovoscopio@n+m.Candler
candles	n+f.velas
candlestick	n+m.candelero@n+m.portavelas
candlesticks	n+m+pl.candeleros@n+m+pl.candelabros
candlewood	n+m.Candlewood
candy	n+m.caramelo@n+f.golosina
cane	n+f.caña@n+m.bastón
canes	n+m+pl.bastones@n+f+pl.cañas
canfield	n+m.Canfield
canine	a+m.canino@a+f.canina@n+m.canino
canines	n+m+pl.caninos@n+m+pl.colmillos
canister	n+m.bote@n+f.lata
canisters	n+m+pl.botes@n+f+pl.latas
canker	n+f.llaga@n+m.cancro
canna	n+f.canna@n+f.achira
cannabis	n+m.cannabis
canned	a+m.enlatado@a+f.enlatada
cannery	n+f.conservera@n+f.fábrica de conservas
cannes	n+f.Cannes
cannibal	n+m.caníbal@a.caníbal
cannibalism	n+m.canibalismo
cannibals	n+m+pl.caníbales
canning	n+m.enlatado@vt.enlatando
cannon	n+m.cañón
cannonball	n+f.bala de cañón
cannons	n+m+pl.cañones
canoe	n+f.canoa
canoeing	n+m.piragüismo@v.yendo en canoa
canoes	n+f+pl.canoas
canola	n+f.canola
canon	n+m.Canon@n+m.canon
canonical	a+m.canónico@a+f.canónica
canons	n+m+pl.cánones
canopies	n+m+pl.doseles@n+f+pl.marquesinas
canopus	n+m.Canopo
canopy	n+m.dosel@n+f.copa
cans	n+f+pl.latas
cant	n+f.jerga@n+f.hipocresía
cantata	n+f.cantata
canteen	n+f.cantina@n+f.cantimplora
canter	n+m.medio galope@vi.ir al medio galope
canterbury	n+m.Canterbury
cantilever	n+m.voladizo@n+f.ménsula
cantina	n+f.cantina
canto	n+m.canto
canton	n+m.cantón
cantonese	a+m.cantonés@a+f.cantonesa@n+m.cantonés
cantor	n+m.cantor@n+m.Cantor
cantrell	n+m.Cantrell
canuck	n+m.canadiense
canucks	n+m+pl.Canucks
canvas	n+m.lienzo@n+f.lona
canvases	n+f+pl.lonas@n+m+pl.lienzos
canvass	vt.hacer campaña@vt.sondear@n+m.sondeo
canvassing	vt.haciendo campaña@n+m.sondeo
canyon	n+m.cañón
canyons	n+m+pl.cañones@n+m+pl.barrancos
canzone	n+f.canción
cap	n+f.gorra@n+m.tope
capabilities	n+f.capacidades
capability	n+f.capacidad
capable	a+m.capaz@a+f.capaz
capacitance	n+f.capacitancia
capacities	n+f+pl.capacidades
capacitive	a+m.capacitivo@a+f.capacitiva
capacitor	n+m.condensador@n+m.capacitor
capacitors	n+m+pl.condensadores@n+m+pl.capacitores
capacity	n+f.capacidad
cape	n+m.cabo@n+f.capa
capella	n+f.Capella
caper	n+f.alcaparra@n+f.travesura
capers	n+f+pl.alcaparras@n+f+pl.travesuras
capes	n+f+pl.capas@n+m+pl.cabos
capetown	n+f.Ciudad del Cabo
capillaries	n+m+pl.capilares
capillary	n+m.capilar@a.capilar
capistrano	n+m.Capistrano
capita	n+f.per cápita
capital	n+f.capital@n+m.capital
capitalisation	n+f.capitalización
capitalise	vt.capitalizar
capitalised	vt.capitalizó@a+m.capitalizado@a+f.capitalizada
capitalism	n+m.capitalismo
capitalist	n+m.capitalista@n+f.capitalista@a+m.capitalista@a+f.capitalista
capitalists	n+m+pl.capitalistas
capitalization	n+f.capitalización
capitalize	vt.capitalizar
capitalized	vt.capitalizó@a+m.capitalizado@a+f.capitalizada
capitalizing	vt.capitalizando
capitals	n+f+pl.capitales@n+f+pl.mayúsculas
capitol	n+m.capitolio
caplets	n+f+pl.cápsulas oblongas
capo	n+m.cejilla@n+m.capo
capone	n+m.Capone
capote	n+m.capote@n+m.Capote
cappadocia	n+f.Capadocia
capped	a+m.con tope@a+f.con tope@vt.tapó
capping	vt.coronando@n+m.límite
cappuccino	n+m.capuchino
capra	n+m.Capra
capri	n+m.Capri
caprice	n+m.capricho
capricious	a+m.caprichoso@a+f.caprichosa
capricorn	n+m.Capricornio
capris	n+m+pl.pantalones capri
caps	n+f.gorras@n+f.tapas@n+f.mayúsculas
capsicum	n+m.pimiento@n+m.ají
capsid	n+f.cápside
capstone	n+f.piedra angular@n+f.coronación
capsule	n+f.cápsula
capsules	n+f+pl.cápsulas
capt	n+m.capitán
captain	n+m.capitán@n+f.capitana
captains	n+m+pl.capitanes
caption	n+m.título@n+f.leyenda@n+m.subtítulo
captioned	a.subtitulado@a+f.subtitulada
captioning	n+m.subtitulado
captions	n+m+pl.subtítulos@n+f+pl.leyendas
captivate	vt.cautivar
captivated	vt.cautivó@a+m.cautivado@a+f.cautivada
captivating	a.cautivador@a+f.cautivadora@a.fascinante
captive	a+m.cautivo@a+f.cautiva@n+m.cautivo@n+f.cautiva
captives	n+m+pl.cautivos@n+f+pl.cautivas
captivity	n+f.cautividad@n+m.cautiverio
captor	n+m.captor
captors	n+m+pl.captores
capture	n+f.captura@v.capturar
captured	a+m.capturado@a+f.capturada
captures	vt.captura@n+f+pl.capturas
capturing	v.capturando
car	n+m.coche@n+m.carro@n+m.auto
cara	n+f.Cara
carabiner	n+m.mosquetón
caracas	n+f.Caracas
carafe	n+f.garrafa@n+f.jarra
caramel	n+m.caramelo
carat	n+m.quilate
carats	n+m+pl.quilates
caravan	n+f.caravana
caravans	n+f+pl.caravanas
caravelle	n+f.Caravelle
carbide	n+m.carburo
carbine	n+f.carabina
carbohydrate	n+m.carbohidrato
carbohydrates	n+m+pl.carbohidratos
carbon	n+m.carbono
carbonate	n+m.carbonato
carbonated	a+m.carbonatado@a+f.carbonatada@a.con gas
carbonates	n+m+pl.carbonatos@vt.carbona
carbonic	a+m.carbónico@a+f.carbónica
carbonyl	n+m.carbonilo
carbs	n+m+pl.carbohidratos
carcass	n+f.carcasa@n+m.cadáver de animal
carcasses	n+m+pl.cadáveres@n+f+pl.carcasas
carcassonne	n+f.Carcasona
carcinogen	n+m.carcinógeno
carcinogenesis	n+f.carcinogénesis
carcinogenic	a+m.carcinógeno@a+f.carcinógena
carcinogenicity	n+f.carcinogenicidad
carcinogens	n+m+pl.carcinógenos
carcinoma	n+m.carcinoma
carcinomas	n+m+pl.carcinomas
card	n+f.tarjeta
cardamom	n+m.cardamomo
cardboard	n+m.cartón
carded	a+m.cardado@a+f.cardada
cardenas	n+m.Cárdenas
cardholder	n+m.titular de tarjeta
cardholders	n+m+pl.titulares de tarjetas
cardiac	a+m.cardíaco@a+f.cardíaca
cardiff	n+m.Cardiff
cardigan	n+m.cárdigan@n+f.chaqueta de punto
cardigans	n+m+pl.cárdigans
cardin	n+m.Cardin
cardinal	n+m.cardenal@a+m.cardinal@a+f.cardinal
cardinality	n+f.cardinalidad
cardinals	n+m+pl.cardenales
cardio	n+m.cardio@a.cardio
cardiologist	n+m.cardiólogo@n+f.cardióloga
cardiologists	n+m+pl.cardiólogos
cardiology	n+f.cardiología
cardiomyopathy	n+f.cardiomiopatía
cardiopulmonary	a.cardiopulmonar
cardiovascular	a+m.cardiovascular@a+f.cardiovascular
cards	n+f.tarjetas
care	n+m.cuidado@v.cuidar
cared	v.se preocupó
career	n+f.carrera
careers	n+f.carreras
carefree	a.despreocupado@a+f.despreocupada
careful	a+m.cuidadoso@a+f.cuidadosa
carefully	ad.cuidadosamente
caregiver	n+m.cuidador@n+f.cuidadora
caregivers	n+m+pl.cuidadores
caregiving	n+m.cuidado@n+f.atención
careless	a.descuidado@a+f.descuidada@a.negligente
carelessly	ad.descuidadamente
carelessness	n+f.descuido@n+f.negligencia
carer	n+m.cuidador@n+f.cuidadora
carers	n+m+pl.cuidadores
cares	vt.le importa@n+m.cuidados
caress	n+f.caricia@vt.acariciar
caressing	vt.acariciando
caret	n+m.signo de intercalación
caretaker	n+m.cuidador@n+f.cuidadora@n+m.vigilante
caretakers	n+m+pl.cuidadores@n+m+pl.conserjes
carew	n+m.Carew
carey	n+m.Carey
cargo	n+f.carga
cargoes	n+f+pl.cargas@n+m+pl.cargamentos
carib	n+m.caribe@a+m.caribe@a+f.caribe
caribbean	a+m.caribeño@a+f.caribeña@n+m.Caribe
caribou	n+m.caribú
caricature	n+f.caricatura
caricatures	n+f+pl.caricaturas@vt.caricaturiza
caries	n+f.caries
carina	n+f.Carina
caring	a+m.cariñoso@a+f.cariñosa@v.cuidando
caritas	n+f.Cáritas
carl	n+m.Carl
carla	n+f.Carla
carleton	n+m.Carleton
carlin	n+m.Carlin
carling	n+m.Carling
carlisle	n+m.Carlisle
carlo	n+m.Carlo
carlos	n+m.Carlos
carlow	n+m.Carlow
carlsbad	n+m.Carlsbad
carlson	n+m.Carlson
carlton	n+m.Carlton
carly	n+f.Carly
carlyle	n+m.Carlyle
carman	n+m.carretero@n+m.Carman
carmarthen	n+m.Carmarthen
carmarthenshire	n+m.Carmarthenshire
carmel	n+m.Carmel
carmelo	n+m.Carmelo
carmen	n+f.Carmen
carmichael	n+m.Carmichael
carmine	n+m.carmín@a+m.carmín@a+f.carmín
carnage	n+f.carnicería@n+f.matanza
carnal	a.carnal
carnarvon	n+m.Carnarvon
carnation	n+m.clavel
carnations	n+m+pl.claveles
carne	n+f.carne
carnegie	n+m.Carnegie
carnelian	n+f.cornalina
carney	n+m.Carney
carnival	n+m.carnaval
carnivals	n+m+pl.carnavales
carnivore	n+m.carnívoro
carnivores	n+m+pl.carnívoros
carnivorous	a+m.carnívoro@a+f.carnívora
carol	n+m.villancico@n+f.Carol
carole	n+f.Carole
carolina	n+f.Carolina
carolinas	n+f+pl.Carolinas
caroline	n+f.Caroline
carols	n+m+pl.villancicos
carolyn	n+f.Carolyn
carotene	n+m.caroteno
carotenoids	n+m+pl.carotenoides
carotid	a+m.carótido@a+f.carótida@n+f.carótida
carousel	n+m.carrusel@n+m.tiovivo
carp	n+f.carpa@vi.quejarse
carpal	a.carpiano@a+f.carpiana
carpark	n+m.aparcamiento@n+m.estacionamiento
carpenter	n+m.carpintero@n+f.carpintera
carpenters	n+m+pl.carpinteros@n+f+pl.carpinteras
carpentry	n+f.carpintería
carpet	n+f.alfombra
carpeted	a+m.alfombrado@a+f.alfombrada
carpeting	n+m.alfombrado@n+f.moqueta
carpets	n+f+pl.alfombras
carpool	n+m.viaje compartido@vi.compartir coche
carport	n+m.cochera abierta
carr	n+m.Carr
carrara	n+f.Carrara
carrefour	n+m.Carrefour
carreras	n+m.Carreras
carriage	n+m.carruaje@n+m.vagón
carriages	n+m+pl.carruajes@n+m+pl.vagones
carriageway	n+f.calzada
carrie	n+f.Carrie
carried	v.llevó@a+m.llevado@a+f.llevada
carrier	n+m.transportista@n+m.portador
carriers	n+m.transportistas@n+m.portadores
carries	vt.lleva
carrillo	n+m.Carrillo
carrion	n+f.carroña
carroll	n+m.Carroll
carrot	n+f.zanahoria
carrots	n+f+pl.zanahorias
carry	v.llevar@v.cargar
carrying	v.llevando
carryover	n+m.remanente@n+m.arrastre
cars	n+m.coches@n+m.carros
carson	n+m.Carson
cart	n+m.carrito@n+f.carreta
cartagena	n+f.Cartagena
carte	n+f.carta
cartel	n+m.cártel
cartels	n+m+pl.cárteles
carter	n+m.Carter
carteret	n+m.Carteret
carters	n+m+pl.carreteros
cartes	n+f+pl.cartas
cartesian	a+m.cartesiano@a+f.cartesiana
carthage	n+f.Cartago
cartier	n+m.Cartier
cartilage	n+m.cartílago
cartographic	a+m.cartográfico@a+f.cartográfica
cartography	n+f.cartografía
carton	n+f.caja de cartón@n+m.cartón
cartons	n+m+pl.cartones@n+f+pl.cajas
cartoon	n+m.dibujo animado
cartooning	n+m.dibujo de caricaturas
cartoonist	n+m.caricaturista@n+m.dibujante
cartoonists	n+m+pl.caricaturistas
cartoons	n+m.dibujos animados
cartouche	n+m.cartucho
cartridge	n+m.cartucho
cartridges	n+m.cartuchos
carts	n+m+pl.carritos@n+f+pl.carretillas
cartwright	n+m.Cartwright
caruso	n+m.Caruso
carve	vt.tallar@vt.trinchar
carved	a+m.tallado@a+f.tallada
carver	n+m.tallador@n+m.Carver
carving	n+f.talla@v.tallando
carvings	n+f+pl.tallas@n+m+pl.grabados
cary	n+m.Cary
casa	n+f.casa
casablanca	n+f.Casablanca
casanova	n+m.casanova@n+m.Casanova
cascade	n+f.cascada@vi.caer en cascada
cascades	n+f+pl.cascadas@vi.cae en cascada
cascading	a.en cascada@vt.cayendo en cascada
case	n+m.caso@n+f.caja
casebook	n+m.recopilación de casos
cased	a.encajonado@vt.examinó
casein	n+f.caseína
caseload	n+f.carga de casos
cases	n+m.casos
casework	n+m.trabajo de casos
casey	n+m.Casey
cash	n+m.efectivo@n+m.dinero
cashback	n+m.reembolso@n+m.dinero en efectivo
cashed	vt.cobró
cashew	n+m.anacardo
cashflow	n+m.flujo de caja
cashier	n+m.cajero@n+f.cajera
cashiers	n+m.cajeros@n+f.cajeras
cashing	vt.cobrando
cashmere	n+m.cachemira@n+f.cachemira
casing	n+f.carcasa@n+m.revestimiento
casings	n+f+pl.carcasas@n+f+pl.fundas
casino	n+m.casino
casinos	n+m.casinos
casio	n+m.Casio
cask	n+m.barril@n+m.tonel
casket	n+m.ataúd@n+f.cajita
caskets	n+m+pl.ataúdes@n+f+pl.cajitas
caspar	n+m.Gaspar
casper	n+m.Casper
caspian	a+m.caspio@a+f.caspia@n+m.Caspio
cassandra	n+f.Casandra
cassava	n+f.yuca@n+f.mandioca
cassel	n+m.Cassel
casserole	n+f.cazuela@n+m.guiso
casseroles	n+f+pl.cacerolas@n+f+pl.guisos
cassette	n+m.casete
cassettes	n+f+pl.casetes
cassia	n+f.casia
cassidy	n+m.Cassidy
cassie	n+f.Cassie
cassiopeia	n+f.Casiopea
cassis	n+m.casis
cassius	n+m.Casio
cast	n+m.elenco@v.lanzar
castaway	n+m.náufrago
caste	n+f.casta
caster	n+f.rueda giratoria@n+m.azucarero
casters	n+f+pl.ruedas giratorias
castes	n+f+pl.castas
castile	n+f.Castilla
castilla	n+f.Castilla
castillo	n+m.Castillo
casting	n+m.reparto@n+f.fundición
castings	n+m+pl.castings@n+f+pl.fundiciones
castle	n+m.castillo
castles	n+m+pl.castillos
castor	n+m.ricino@n+f.rueda giratoria
castors	n+f+pl.ruedas giratorias@n+m+pl.rícinos
castration	n+f.castración
castro	n+m.Castro
casts	vt.lanza@n+m+pl.elencos@n+m+pl.moldes
casual	a+m.casual@a+f.casual@a+m.informal@a+f.informal
casually	ad.casualmente@ad.informalmente
casuals	n+m+pl.informales@n+f+pl.zapatillas casuales
casualties	n+f+pl.víctimas@n+f+pl.bajas
casualty	n+f.víctima@n+f.baja
cat	n+m.gato@n+f.gata
catabolism	n+m.catabolismo
catacombs	n+f+pl.catacumbas
catalan	a+m.catalán@a+f.catalana@n+m.catalán
catalase	n+f.catalasa
catalina	n+f.Catalina
catalogue	n+m.catálogo
catalogued	vt.catalogó@a+m.catalogado@a+f.catalogada
catalogues	n+m+pl.catálogos
cataloguing	vt.catalogando
catalonia	n+f.Cataluña
catalysis	n+f.catálisis
catalyst	n+m.catalizador
catalysts	n+m+pl.catalizadores
catalytic	a+m.catalítico@a+f.catalítica
catamaran	n+m.catamarán
catania	n+f.Catania
catapult	n+f.catapulta@vt.catapultar
cataract	n+f.catarata
cataracts	n+f+pl.cataratas
catastrophe	n+f.catástrofe
catastrophes	n+f+pl.catástrofes
catastrophic	a+m.catastrófico@a+f.catastrófica
catawba	n+m.Catawba
catch	v.atrapar@n+f.captura
catcher	n+m.receptor@n+m.catcher
catchers	n+m+pl.receptores
catches	vt.atrapa@n+f+pl.capturas
catching	v.atrapando@a+m.contagioso@a+f.contagiosa
catchment	n+f.captación@n+f.cuenca
catchments	n+f+pl.cuencas
catchy	a.pegadizo@a+f.pegadiza
cate	n+f.Cate
catechism	n+m.catecismo
categorical	a+m.categórico@a+f.categórica
categorically	ad.categóricamente
categories	n+f.categorías
categorisation	n+f.categorización
categorised	vt.categorizó@a+m.categorizado@a+f.categorizada
categorization	n+f.categorización@n+f.clasificación
categorize	vt.categorizar@vt.clasificar
categorized	a+m.categorizado@a+f.categorizada
categorizing	vt.categorizando
category	n+f.categoría
cater	vi.proveer@vt.atender
catered	vt.proveyó comida@a.abastecido@a+f.abastecida
caterer	n+m.proveedor de catering
caterers	n+m+pl.proveedores de catering
catering	n+m.catering@n+m.servicio de comidas
caterpillar	n+f.oruga@n+m.Caterpillar
caterpillars	n+f+pl.orugas
caters	vi.atiende@vt.provee
catfish	n+m.bagre@n+m.siluro
cath	n+f.Cath
catharine	n+f.Catharine
