the	art+m.o@art+f.a
kern	n.Kern@n+m.entrelinhamento
julius	n.Júlio
coup	n+m.golpe
cannes	n.Cannes
morse	n.Morse
dominance	n+f.dominância
predators	n+m.predadores
piston	n+m.pistão
cords	n+f.cordas@n+m.fios
revisited	a+m.revisitado@a+f.revisitada@v.revisitou
sealing	v.selar@n+f.vedação
topped	a+m.coberto@a+f.coberta@v.superou
adhesives	n+m.adesivos
rag	n+m.trapo@n+m.pano
despair	n+m.desespero@v.desesperar
inventories	n+m.inventários@n+m.estoques
fore	a.dianteiro@ad.à frente
absorb	v.absorver
injected	a+m.injetado@a+f.injetada@v.injetou
alps	n.Alpes
commodore	n+m.comodoro@n.Commodore
dumping	n+m.dumping@v.despejar
enlisted	a+m.alistado@a+f.alistada@v.alistou
prophets	n+m.profetas
econ	n+f.economia
warez	n+m.warez
supernatural	a.sobrenatural
overlooked	a+m.negligenciado@a+f.negligenciada@v.negligenciou
magenta	n+m.magenta@a.magenta
tagging	v.marcar@n+f.marcação
ditch	n+f.vala@n+m.fosso@v.abandonar
feared	a+m.temido@a+f.temida@v.temeu
prelude	n+m.prelúdio
rowe	n.Rowe
slick	a+m.escorregadio@a+f.escorregadia@a.habilidoso
overly	ad.excessivamente
limestone	n+m.calcário
triggers	n+m.gatilhos@v.aciona
commentaries	n+m.comentários
constructs	n+m.constructos@v.constrói
impedance	n+f.impedância
dragonfly	n+f.libélula
manpower	n+f.mão de obra
chunk	n+m.pedaço@n+m.bloco
reels	n+m.carretéis@n+f.bobinas
lob	v.lançar@n+m.lançamento
slept	v.dormiu
gregg	n.Gregg
refundable	a.reembolsável
billboard	n+m.outdoor@n.Billboard
drafted	a+m.redigido@a+f.redigida@v.redigiu
chalet	n+m.chalé
huang	n.Huang
layered	a+m.em camadas@a.estratificado
hopper	n+m.funil@n.Hopper
neurological	a+m.neurológico@a+f.neurológica
subs	n+m.submarinos@n+f.legendas
specialization	n+f.especialização
abstraction	n+f.abstração
ludwig	n.Ludwig
watchdog	n+m.cão de guarda@n+m.órgão fiscalizador
scandinavian	a+m.escandinavo@a+f.escandinava
starbucks	n.Starbucks
viability	n+f.viabilidade
detained	a+m.detido@a+f.detida@v.deteve
luncheon	n+m.almoço
filler	n+m.preenchedor@n+m.enchimento
smiley	n+m.emoticon@a+m.sorridente
zenith	n+m.zênite
genomics	n+f.genômica
yum	int.hum@int.delícia
browns	n+m.marrons@n.Browns
researched	a+m.pesquisado@a+f.pesquisada@v.pesquisou
waits	v.espera
tenor	n+m.tenor@n+m.teor
copiers	n+f.copiadoras
ovarian	a+m.ovariano@a+f.ovariana
softly	ad.suavemente
plenary	a+m.plenário@a+f.plenária@n+f.sessão plenária
scrub	v.esfregar@n+m.matagal
wilkinson	n.Wilkinson
limb	n+m.membro@n+m.galho
intestinal	a.intestinal
cello	n+m.violoncelo
poe	n.Poe
refusing	v.recusar
suffers	v.sofre
sweepstakes	n+m.sorteio@n+f.loteria
occupy	v.ocupar
antigens	n+m.antígenos
gan	n.Gan
midtown	n+m.centro da cidade
bethlehem	n.Belém
stabilization	n+f.estabilização
caves	n+f.cavernas
authoritative	a+m.autoritativo@a+f.autoritativa
celestial	a.celestial
immense	a+m.imenso@a+f.imensa
audrey	n.Audrey
merlin	n.Merlin
kinetics	n+f.cinética
cocos	n.Cocos
aiming	v.mirar@n+f.mira
seizure	n+f.apreensão@n+f.convulsão
stuttgart	n.Stuttgart
diplomacy	n+f.diplomacia
differing	a.diferente@v.diferir
impacted	a+m.impactado@a+f.impactada@v.impactou
foreigners	n+m.estrangeiros@n+f.estrangeiras
limp	a+m.manco@a+f.manca@v.mancar@n+m.mancada
capitalist	n+m.capitalista@a.capitalista
rumsfeld	n.Rumsfeld
mute	a+m.mudo@a+f.muda@v.silenciar@n+m.mudo
beanie	n+f.touca
prescott	n.Prescott
protestant	a+m.protestante@n+m.protestante
metre	n+m.metro
tricky	a+m.complicado@a+f.complicada@a+m.ardiloso@a+f.ardilosa
ordinances	n+f.ordenanças@n+f.portarias
thurs	n+f.quinta-feira
spaced	a+m.espaçado@a+f.espaçada
koch	n.Koch
freq	n+f.frequência
topaz	n+m.topázio
ans	n+f.resposta
segmentation	n+f.segmentação
imaginary	a+m.imaginário@a+f.imaginária
albion	n.Albion
soaps	n+m.sabonetes@n+f.novelas
courthouse	n+m.tribunal@n+m.fórum
sutherland	n.Sutherland
entrepreneurial	a.empreendedor
dart	n+m.dardo@v.lançar
lebanese	a+m.libanês@a+f.libanesa@n+m.libanês@n+f.libanesa
psycho	n+m.psicopata@a.psicótico
maharashtra	n.Maharashtra
wrought	a+m.forjado@a+f.forjada@a+m.trabalhado@a+f.trabalhada
robe	n+m.roupão@n+f.toga
theresa	n.Teresa
heidelberg	n.Heidelberg
multitude	n+f.multidão
tutors	n+m.tutores@n+f.tutoras@v.tutoreia
ezra	n.Ezra
housekeeping	n+f.limpeza@n+f.manutenção
captive	a+m.cativo@a+f.cativa@n+m.cativo@n+f.cativa
kettle	n+f.chaleira
visitation	n+f.visitação
chr	n+m.caractere
gibbs	n.Gibbs
baggage	n+f.bagagem
chavez	n.Chavez
dusty	a+m.empoeirado@a+f.empoeirada
patty	n.Patty@n+m.hambúrguer
serena	n.Serena
asst	n+m.assistente
satire	n+f.sátira
overload	n+f.sobrecarga@v.sobrecarregar
tortured	a+m.torturado@a+f.torturada@v.torturou
pioneers	n+m.pioneiros@n+f.pioneiras
vikings	n+m.vikings
crate	n+m.caixote@n+f.caixa
bootstrap	n+m.bootstrap@v.inicializar
episcopal	a.episcopal
humane	a+m.humano@a+f.humana
moonlight	n+f.luz do luar@n+m.luar
mast	n+m.mastro
unfinished	a+m.inacabado@a+f.inacabada
goth	n+m.gótico@a.gótico
cared	v.cuidou@v.importou
affection	n+f.afeição@n+m.carinho
sworn	a+m.jurado@a+f.jurada@v.jurou
twink	n+m.twink
bowen	n.Bowen
vicious	a+m.vicioso@a+f.viciosa@a+m.cruel
educating	v.educar@n+f.educação
kin	n+m.parente@n+f.família
affiliations	n+f.afiliações
pussycat	n+m.gatinho
appropriated	a+m.apropriado@a+f.apropriada@v.apropriou
escherichia	n+f.Escherichia
mallorca	n.Mallorca
mackenzie	n.Mackenzie
reversible	a.reversível
slippers	n+f.pantufas@n+m.chinelos
unclassified	a+m.não classificado@a+f.não classificada
earthquakes	n+m.terremotos
bookshelf	n+f.estante
hayward	n.Hayward
wandering	v.vagar@a.errante@n+f.vaguear
comb	n+m.pente@v.pentear
liquids	n+m.líquidos
beech	n+f.faia
vineyards	n+m.vinhedos@n+f.vinhas
amer	n.Amer
frogs	n+m.sapos@n+f.rãs
fps	n+m.FPS
consequential	a.consequente@a.importante
initialization	n+f.inicialização
unreasonable	a.irrazoável@a.absurdo
expat	n+m.expatriado@n+f.expatriada
osborne	n.Osborne
raider	n+m.invasor@n+m.saqueador
timers	n+m.temporizadores
stimulus	n+m.estímulo
economists	n+m.economistas
miners	n+m.mineradores
agnes	n.Agnes
constituency	n+f.circunscrição eleitoral@n+m.eleitorado
rocker	n+m.roqueiro@n+f.roqueira@n+f.cadeira de balanço
acknowledges	v.reconhece
alas	int.ai de mim@int.infelizmente
enrolment	n+f.matrícula@n+m.alistamento
sawyer	n.Sawyer
maori	a.maori@n+m.maori
lawmakers	n+m.legisladores
tense	a+m.tenso@a+f.tensa@n+m.tempo verbal
predicting	v.prever@n+f.previsão
filipino	a+m.filipino@a+f.filipina@n+m.filipino@n+f.filipina
cooled	a+m.resfriado@a+f.resfriada@v.resfriou
prudential	a.prudencial@n.Prudential
basel	n.Basileia
migrant	n+m.migrante@a.migrante
devotion	n+f.devoção
larson	n.Larson
invoke	v.invocar
leaning	v.inclinar@n+f.inclinação
centrally	ad.centralmente
paddle	n+m.remo@n+f.pá@v.remar
watkins	n.Watkins
anterior	a.anterior
dealership	n+f.concessionária
chop	v.picar@v.cortar@n+m.golpe
rooted	a+m.enraizado@a+f.enraizada
onyx	n+m.ônix
benches	n+m.bancos
illumination	n+f.iluminação
freedoms	n+f.liberdades
bakersfield	n.Bakersfield
foolish	a+m.tolo@a+f.tola
finale	n+m.final@n+f.conclusão
weaker	a.mais fraco
foley	n.Foley
fir	n+m.abeto
stirling	n.Stirling
moran	n.Moran
decal	n+m.decalque@n+m.adesivo
compose	v.compor
nausea	n+f.náusea
comfortably	ad.confortavelmente
hoop	n+m.aro
addictive	a+m.viciante
clarinet	n+m.clarinete
temps	n+m.temporários@n+f.temperaturas
fiona	n.Fiona
clearer	a.mais claro
floods	n+f.enchentes@n+f.inundações@v.inunda
gigabyte	n+m.gigabyte
fritz	n.Fritz
mover	n+m.transportador@n+m.movimentador
erica	n.Érica
malaga	n.Málaga
federally	ad.federalmente
sustaining	v.sustentar@a.sustentador
repaired	a+m.consertado@a+f.consertada@v.consertou
diocese	n+f.diocese
francois	n.François
obituary	n+m.obituário
multinational	a.multinacional@n+f.multinacional
painters	n+m.pintores@n+f.pintoras
thistle	n+m.cardo
sleepy	a+m.sonolento@a+f.sonolenta
nope	int.não
footnotes	n+f.notas de rodapé
rupert	n.Rupert
shrine	n+m.santuário
aspirin	n+f.aspirina
purified	a+m.purificado@a+f.purificada@v.purificou
striving	v.esforçar-se@n+m.esforço
dire	a.terrível@a.extremo
attendant	n+m.atendente@a.acompanhante
gull	n+f.gaivota
jour	n+m.dia
mir	n.Mir
spoilers	n+m.spoilers
northumberland	n.Northumberland
machining	n+f.usinagem@v.usinar
malibu	n.Malibu
memoir	n+f.memória@n+m.relato
betsy	n.Betsy
shaun	n.Shaun
redundancy	n+f.redundância
meredith	n.Meredith
fauna	n+f.fauna
cliffs	n+m.penhascos@n+f.falésias
hayden	n.Hayden
emo	n+m.emo@a.emo
roadside	n+f.beira da estrada@a.à beira da estrada
smells	n+m.cheiros@v.cheira
dispose	v.dispor@v.descartar
detox	n+f.desintoxicação@v.desintoxicar
waking	v.acordar@a.acordado
feathers	n+f.penas
skateboard	n+m.skate
reflex	n+m.reflexo@a.reflexo
falcons	n+m.falcões
automate	v.automatizar
drosophila	n+f.drosófila
spurs	n+f.esporas@n.Spurs
sion	n.Sion
crashed	a+m.batido@a+f.batida@v.bateu
appraisals	n+f.avaliações
travelled	v.viajou@a.viajado
urgency	n+f.urgência
flashes	n+m.flashes@v.pisca
lakewood	n.Lakewood
gould	n.Gould
brit	n+m.britânico@n+f.britânica
eliza	n.Eliza
carers	n+m.cuidadores@n+f.cuidadoras
kramer	n.Kramer
graduating	v.graduar@a.graduando
rims	n+m.aros@n+f.bordas
harmonic	a+m.harmônico@a+f.harmônica@n+m.harmônico
darts	n+m.dardos
shin	n+f.canela
intriguing	a.intrigante@v.intrigar
keypad	n+m.teclado numérico
flaw	n+f.falha@n+m.defeito
tails	n+f.caudas@n+m.rabos
emulator	n+m.emulador
microbial	a+m.microbiano@a+f.microbiana
discarded	a+m.descartado@a+f.descartada@v.descartou
bibles	n+f.bíblias
hangs	v.pendura
caregivers	n+m.cuidadores
joanna	n.Joanna
quark	n+m.quark
synonyms	n+m.sinônimos
electronica	n+f.eletrônica
stranded	a+m.encalhado@a+f.encalhada
mitochondrial	a.mitocondrial
horton	n.Horton
dolce	a.doce@n.Dolce
hercules	n.Hércules
pane	n+m.painel@n+f.vidraça
browning	n.Browning@v.dourar
angular	a.angular
veins	n+f.veias
folds	n+f.dobras@v.dobra
grinder	n+m.moedor
angie	n.Angie
sneak	v.esgueirar@n+m.furtivo
octet	n+m.octeto
incorrectly	ad.incorretamente
avoidance	n+f.evitação
dinosaurs	n+m.dinossauros
sauces	n+m.molhos
conquer	v.conquistar
mccoy	n.McCoy
probabilities	n+f.probabilidades
vibe	n+f.vibração@n+m.clima
immortal	a.imortal@n+m.imortal
mariners	n+m.marinheiros
snapshots	n+m.instantâneos@n+f.fotos
creole	a.crioulo@n+m.crioulo
meth	n+f.metanfetamina
trendy	a.da moda@a.moderno
teas	n+m.chás
settling	v.estabelecer@n+f.liquidação
inpatient	n+m.paciente internado@a.de internação
filming	v.filmar@n+f.filmagem
badger	n+m.texugo@v.importunar
saturdays	n+m.sábados
partisan	a+m.partidário@a+f.partidária@n+m.partidário
gratitude	n+f.gratidão
impress	v.impressionar@n+f.impressão
willy	n.Willy
anon	ad.logo@ad.em breve
eminent	a.eminente
ribs	n+f.costelas
communicated	a+m.comunicado@a+f.comunicada@v.comunicou
exceptionally	ad.excepcionalmente
quilts	n+m.colchas@n+m.edredons
cartier	n.Cartier
ageing	n+m.envelhecimento@v.envelhecer
splits	n+f.divisões@v.divide
subscribing	v.assinar@v.inscrever
companions	n+m.companheiros@n+f.companheiras
cheques	n+m.cheques
containment	n+f.contenção
keynes	n.Keynes
protections	n+f.proteções
edith	n.Edith
aliases	n+m.pseudônimos@n+m.aliases
maximizing	v.maximizar@n+f.maximização
screwed	a+m.ferrado@a+f.ferrada@v.ferrou
tomcat	n+m.gato macho@n.Tomcat
walmart	n.Walmart
sectional	a.seccional
interestingly	ad.interessantemente
fashionable	a.na moda@a.elegante
polly	n.Polly
tidal	a.de maré
jules	n.Jules
ballots	n+f.cédulas@n+f.votações
hog	n+m.porco@v.monopolizar
ernie	n.Ernie
testify	v.testemunhar
poole	n.Poole
boycott	n+m.boicote@v.boicotar
elem	n+m.elemento
vitality	n+f.vitalidade
clerks	n+m.funcionários@n+m.balconistas
crust	n+f.crosta
bothered	a+m.incomodado@a+f.incomodada@v.incomodou
traverse	v.atravessar@n+f.travessia
vengeance	n+f.vingança
organisers	n+m.organizadores@n+f.organizadoras
dolly	n+f.boneca@n+m.carrinho@n.Dolly
pissed	a+m.irritado@a+f.irritada@a+m.bêbado@a+f.bêbada
garrison	n+f.guarnição@n.Garrison
sal	n.Sal@n+m.sal
barb	n+f.farpa@n.Barb
mckenzie	n.McKenzie
huns	n+m.hunos
miner	n+m.minerador
fashions	n+f.modas@v.molda
genital	a.genital
barr	n.Barr
analogy	n+f.analogia
insomnia	n+f.insônia
constituent	n+m.constituinte@a.constituinte
aura	n+f.aura
cecil	n.Cecil
sponge	n+f.esponja
cajun	a.cajun@n+m.cajun
algebraic	a+m.algébrico@a+f.algébrica
sect	n+f.seita
diner	n+m.restaurante@n+f.lanchonete
anticipation	n+f.antecipação
enduring	a.duradouro@v.suportar
scarborough	n.Scarborough
kristen	n.Kristen
regis	n.Régis
winters	n+m.invernos@n.Winters
nous	pron.nós
explosives	n+m.explosivos
mound	n+m.monte@n+m.montículo
xiv	n+m.XIV
backgammon	n+m.gamão
sgd	n+m.SGD
chromatography	n+f.cromatografia
overdose	n+f.overdose
gallagher	n.Gallagher
snatch	v.agarrar@n+m.fragmento
mueller	n.Mueller
mole	n+f.toupeira@n+m.mol
obs	n+f.observação
owed	v.devia@a+m.devido@a+f.devida
ethan	n.Ethan
orgasms	n+m.orgasmos
kissed	v.beijou@a+m.beijado@a+f.beijada
buff	n+m.entusiasta@a+m.musculoso@a+f.musculosa
freezers	n+m.freezers@n+m.congeladores
butcher	n+m.açougueiro@v.massacrar
psalms	n+m.salmos
rum	n+m.rum
ibiza	n.Ibiza
reese	n.Reese
chefs	n+m.chefs
engraving	n+f.gravura@n+m.entalhe
constituted	a+m.constituído@a+f.constituída@v.constituiu
gastrointestinal	a.gastrointestinal
hamlet	n+m.vilarejo@n.Hamlet
contrib	n+f.contribuição
clad	a+m.revestido@a+f.revestida@a+m.vestido@a+f.vestida
excursion	n+f.excursão
blu	n+m.Blu-ray@a.azul
inverness	n.Inverness
orb	n+m.orbe@n+f.esfera
grange	n+f.granja@n.Grange
megapixels	n+m.megapixels
resigned	a+m.resignado@a+f.resignada@v.renunciou
retriever	n+m.retriever
fled	v.fugiu
svalbard	n.Svalbard
enriched	a+m.enriquecido@a+f.enriquecida@v.enriqueceu
harrington	n.Harrington
brandy	n+m.brandy@n+m.conhaque
swings	n+m.balanços@v.balança
scion	n+m.descendente@n+m.rebento
reptiles	n+m.répteis
vortex	n+m.vórtice
swallowing	v.engolir@n+f.deglutição
purses	n+f.bolsas
bodily	a.corporal@ad.corporalmente
xiii	n+m.XIII
awe	n+f.admiração@n+m.espanto
beaumont	n.Beaumont
standalone	a.autônomo@a.independente
australasia	n.Australásia
mandy	n.Mandy
hoods	n+m.capuzes@n+m.capôs
antitrust	a.antitruste
equine	a+m.equino@a+f.equina
bros	n+m.manos@n+m.irmãos
fireplaces	n+f.lareiras
jared	n.Jared
requisite	a.necessário@n+m.requisito
retrospective	n+f.retrospectiva@a+m.retrospectivo@a+f.retrospectiva
emphasizes	v.enfatiza
lizard	n+m.lagarto
hawthorne	n.Hawthorne
tehran	n.Teerã
bouquets	n+m.buquês
wears	v.usa@v.veste
shropshire	n.Shropshire
regal	a.real@a.régio
safeguards	n+f.salvaguardas@v.salvaguarda
cabbage	n+m.repolho
cub	n+m.filhote
wrongful	a.injusto@a.ilegal
spectator	n+m.espectador@n+f.espectadora
arrests	n+f.prisões@v.prende
circumstance	n+f.circunstância
signage	n+f.sinalização
numbering	n+f.numeração@v.numerar
encode	v.codificar
admins	n+m.administradores
alvin	n.Alvin
accolades	n+m.elogios@n+f.honrarias
sliced	a+m.fatiado@a+f.fatiada@v.fatiou
reproductions	n+f.reproduções
infertility	n+f.infertilidade
byrd	n.Byrd
sidewalk	n+f.calçada
prob	n+m.problema@n+f.probabilidade
breaker	n+m.disjuntor@n+m.quebrador
curly	a+m.encaracolado@a+f.encaracolada@a+m.crespo@a+f.crespa
alberto	n.Alberto
collage	n+f.colagem
asserted	v.afirmou@a+m.afirmado@a+f.afirmada
aces	n+m.ases
benchmarking	n+m.benchmarking
jealous	a+m.ciumento@a+f.ciumenta
refinement	n+m.refinamento
durban	n.Durban
learnt	v.aprendeu@a+m.aprendido@a+f.aprendida
hound	n+m.cão de caça@v.perseguir
squirrel	n+m.esquilo
concealed	a+m.escondido@a+f.escondida@v.escondeu
bankruptcies	n+f.falências
gauges	n+m.medidores@n+m.calibres
blueprint	n+f.planta@n+m.projeto
mccain	n.McCain
bridging	v.ligar@n+f.ponte
wharf	n+m.cais
rhythms	n+m.ritmos
departures	n+f.partidas
flick	n+m.filme@n+f.sacudida@v.sacudir
datum	n+m.dado
shotgun	n+f.espingarda
stimulated	a+m.estimulado@a+f.estimulada@v.estimulou
chickens	n+m.frangos@n+f.galinhas
langley	n.Langley
briggs	n.Briggs
cheyenne	n.Cheyenne
empowering	a.empoderador@v.empoderar
lug	v.carregar@n+m.alça
surveyor	n+m.topógrafo@n+m.avaliador
facilitator	n+m.facilitador@n+f.facilitadora
maize	n+m.milho
galveston	n.Galveston
extinction	n+f.extinção
unaware	a.inconsciente@a.desconhecedor
rockville	n.Rockville
banff	n.Banff
discretionary	a+m.discricionário@a+f.discricionária
psalm	n+m.salmo
scented	a+m.perfumado@a+f.perfumada
timestamp	n+f.marca temporal@n+m.carimbo de data
bib	n+m.babador@n+m.número de peito
gowns	n+m.vestidos@n+f.batas
stevie	n.Stevie
spying	v.espionar@n+f.espionagem
nicholson	n.Nicholson
rivera	n.Rivera
dermatology	n+f.dermatologia
lied	v.mentiu
sandbox	n+f.caixa de areia
bloc	n+m.bloco
cambridgeshire	n.Cambridgeshire
premiership	n+m.campeonato inglês@n+f.liderança
luton	n.Luton
recurrent	a.recorrente
talbot	n.Talbot
leaks	n+m.vazamentos@v.vaza
tam	n+m.boina@n.Tam
recursive	a+m.recursivo@a+f.recursiva
swell	v.inchar@n+m.inchaço@a.excelente
obstacle	n+m.obstáculo
fluorescence	n+f.fluorescência
kosher	a.kosher
mantle	n+m.manto
additives	n+m.aditivos
chico	n.Chico
driveway	n+f.entrada de garagem
irony	n+f.ironia
gesture	n+m.gesto@v.gesticular
fairbanks	n.Fairbanks
marketed	a+m.comercializado@a+f.comercializada@v.comercializou
armies	n+m.exércitos
hugs	n+m.abraços@v.abraça
greenfield	n.Greenfield
santos	n.Santos
owls	n+f.corujas
mandrake	n+f.mandrágora@n.Mandrake
cutters	n+m.cortadores
camper	n+m.campista@n+m.trailer
acquires	v.adquire
ceased	v.cessou@a.cessado
merging	v.fundir@n+f.fusão
plaques	n+f.placas
breadth	n+f.largura@n+f.amplitude
mammoth	n+m.mamute@a.gigantesco
liquidity	n+f.liquidez
convictions	n+f.convicções@n+f.condenações
intentional	a.intencional
galactic	a+m.galáctico@a+f.galáctica
sophia	n.Sophia
merchandising	n+m.merchandising
prohibits	v.proíbe
ombudsman	n+m.ombudsman@n+m.ouvidor
innings	n+m.entradas
registrant	n+m.registrante
reorganization	n+f.reorganização
pronunciation	n+f.pronúncia
firefighters	n+m.bombeiros
placements	n+f.colocações
concession	n+f.concessão
measurable	a.mensurável
ami	n+m.amigo@n.Ami
parcels	n+m.pacotes@n+f.parcelas
pastry	n+f.pastelaria@n+m.doce
manners	n+m.modos@n+f.maneiras
levin	n.Levin
academia	n+f.academia
amiga	n+f.amiga@n.Amiga
phosphorus	n+m.fósforo
viper	n+f.víbora
descriptor	n+m.descritor
hid	v.escondeu
volcanic	a+m.vulcânico@a+f.vulcânica
gypsy	n+m.cigano@n+f.cigana@a.cigano
thieves	n+m.ladrões@n+f.ladras
preaching	v.pregar@n+f.pregação
pimp	n+m.cafetão@v.cafetinar
repeal	v.revogar@n+f.revogação
gimp	n+m.GIMP@n+m.manco
uncovered	a+m.descoberto@a+f.descoberta@v.descobriu
hemp	n+m.cânhamo
eileen	n.Eileen
proficient	a.proficiente
pelican	n+m.pelicano
cyclic	a+m.cíclico@a+f.cíclica
swimsuit	n+m.maiô@n+f.roupa de banho
apocalypse	n+m.apocalipse
morphology	n+f.morfologia
cousins	n+m.primos@n+f.primas
discharges	n+f.descargas@v.descarrega
condom	n+m.preservativo@n+f.camisinha
admire	v.admirar
westerns	n+m.faroestes
dodgers	n+m.esquivadores@n.Dodgers
litre	n+m.litro
poured	v.derramou@a+m.derramado@a+f.derramada
usefulness	n+f.utilidade
unsolicited	a+m.não solicitado@a+f.não solicitada
binds	v.liga@n+f.ligações
unveiled	a+m.revelado@a+f.revelada@v.revelou
correlations	n+f.correlações
burt	n.Burt
titus	n.Tito
textual	a.textual
suffix	n+m.sufixo
handsets	n+m.aparelhos@n+m.telefones
gandhi	n.Gandhi
spindle	n+m.fuso@n+m.eixo
heavens	n+m.céus
inks	n+f.tintas
wink	n+f.piscadela@v.piscar
mister	n+m.senhor
rounding	v.arredondar@n+m.arredondamento
inorganic	a+m.inorgânico@a+f.inorgânica
flare	n+f.chama@n+m.clarão@v.incendiar
scholastic	a+m.escolástico@a+f.escolástica
wight	n.Wight@n+m.criatura
mondays	n+f.segundas-feiras
withholding	v.reter@n+f.retenção
insertions	n+f.inserções
couture	n+f.costura@n+f.alta-costura
foliage	n+f.folhagem
nod	n+m.aceno@v.acenar
fife	n+m.pífaro@n.Fife
generals	n+m.generais
crank	n+f.manivela@n+m.excêntrico@v.girar
goats	n+m.bodes@n+f.cabras
autographs	n+m.autógrafos
summarize	v.resumir
stub	n+m.coto@n+m.talão
fundamentally	ad.fundamentalmente
creamy	a+m.cremoso@a+f.cremosa
exposition	n+f.exposição
rains	n+f.chuvas@v.chove
buckley	n.Buckley
middleton	n.Middleton
laminated	a+m.laminado@a+f.laminada
organise	v.organizar
tort	n+m.delito civil
brace	n+m.suporte@n+f.braçadeira@v.preparar
backups	n+m.backups@n+f.cópias de segurança
novelties	n+f.novidades
gigantic	a+m.gigantesco@a+f.gigantesca
abdul	n.Abdul
sheldon	n.Sheldon
ryder	n.Ryder
mayhem	n+m.caos@n+f.confusão
washers	n+f.arruelas@n+f.lavadoras
grep	n+m.grep
polymerase	n+f.polimerase
optimisation	n+f.otimização
octave	n+f.oitava
struts	n+m.escoras@v.pavoneia
suppress	v.suprimir
harding	n.Harding
dams	n+f.barragens@n+f.represas
deserved	a+m.merecido@a+f.merecida@v.mereceu
violates	v.viola
joplin	n.Joplin
rutherford	n.Rutherford
afro	a.afro@n+m.afro
separates	v.separa@n+f.peças separadas
proofs	n+f.provas
precedent	n+m.precedente
biosynthesis	n+f.biossíntese
prosecutors	n+m.promotores@n+f.promotoras
confirming	v.confirmar@a.confirmando
garth	n.Garth
nolan	n.Nolan
alloys	n+f.ligas metálicas
mach	n+m.mach@n.Mach
getaways	n+f.fugas@n+f.escapadas
facilitated	a+m.facilitado@a+f.facilitada@v.facilitou
miquelon	n.Miquelon
metaphor	n+f.metáfora
bridget	n.Bridget
wonderland	n+m.país das maravilhas
