آب	n+m.abe
تشين	n+m.chen
تشيناي	n+f.chennai
تشينغ	n+m.ching
تشينغداو	n+f.qingdao
تشيني	n+m.cheney@n+m.chaney
تشيواوا	n+m.chihuahua
تشييد	n+m.erection
تصاحب لفظي	n+m.collocation
تصادم	n+m.collision@v.clashed
تصادمي	a.confrontational
تصاريح	n+f.passes@n+f.permits@n+f.authorizations@n+f.clearances
تصاعد	n+f.buildup@v.escalated
تصاعد موسيقي	n+m.crescendo
تصاعدي	a.ascending
تصاميم	n+f.designs
تصبح على خير	int.goodnight
تصبغ	n+f.pigmentation
تصحيح	n+m.correction@n+m.debug@n+m.corr@n+f.rectification
تصحيح أخطاء	n+m.debugging
تصحيحات	n+f.corrections@n+f.patches
تصحيحي	a.corrective@a.remedial
تصحّر	n+m.desertification
تصدر	v.topped@v.spearheaded
تصدير	n+m.export@n+m.exporting@n+f.exportation
تصديق	n+m.credence@n+m.attestation
تصدّر	v.fronted
تصرف	n+m.disposition@v.behaved
تصريح	n+f.statement@n+m.permit@n+m.clearance@n+f.declaration@n+m.authorizing@n+f.authorisation
تصريحات	n+f.statements@n+f.utterances@n+f.pronouncements
تصريحي	a.declarative@a.declaratory
تصريف	n+m.drainage@n+f.conjugation@n+m.inflection
تصرَّف	v.acted
تصرّف	n+m.disposal
تصعيد	n+m.escalation@n+m.sublimation@n+m.ramping
تصغير	n+f.minimization
تصفح	n+m.browsing@n+m.surfing@v.browsed@v.surfed
تصفيات	n+f.closeouts@n+f.qualifiers@n+f.prelims@n+f.liquidations
تصفية	n+f.filtering@n+f.closeout@n+f.liquidation@n+f.cull@n+m.divestiture
تصفية استثمارات	n+m.divestment
تصفيح	n+f.plating@n+f.lamination
تصفيف	n+m.styling
تصفيف شعر	n+f.hairdressing
تصفيق	n+m.applause@n+m.clapping
تصفيق حار	n+f.ovation
تصفيقة	n+f.clap
تصلب	n+m.sclerosis@n+m.stiffness@n+m.hardening
تصلب الجلد	n+m.scleroderma
تصلب الشرايين	n+m.atherosclerosis@n+m.arteriosclerosis
تصلَّب	v.solidified
تصميم	n+m.design@n+m.determination@n+m.designing
تصميم بمساعدة الحاسوب	n+m.cad
تصميم داخلي	n+m.interiors
تصميم رقصات	n+m.choreography
تصنعات	n+f.airs
تصنيع	n+f.manufacturing@n+f.mfg@n+f.fabrication@n+m.manuf@n+f.industrialization
تصنيع أدوات	n+m.tooling
تصنيعات	n+f.fabrications
تصنيف	n+m.classification@n+m.ranking@n+m.grading@n+m.taxonomy@n+f.categorization@n+m.classifying@n+m.binning@n+f.categorisation
تصنيف حيوي	n+m.taxon
تصنيف طبقي	n+m.stratification
تصنيفات	n+f.rankings@n+f.classifications@n+f.taxa
تصنيفي	a.taxonomic
تصور	v.envisaged@v.envisioned@n+f.visualisation@n+m.visualizing
تصورات	n+f.perceptions@n+f.conceptions@n+f.renderings
تصورات بصرية	n+f.visualizations
تصوف	n+m.mysticism@n+f.sufism
تصويب	n+m.aiming
تصويبات	n+f.errata
تصويت	n+m.vote@n+m.voting@n+m.ballot
تصوير	n+m.photography@n+m.imaging@n+m.filming@n+m.depiction@n+m.portrayal@n+f.photocopying@n+m.characterisation@n+m.photographing@n+m.picturing
تصوير الأوعية	n+f.angiography
تصوير الثدي	n+f.mammography
تصوير بالموجات فوق الصوتية	n+f.ultrasonography
تصوير ثدي	n+m.mammogram
تصوير سينمائي	n+f.cinematography
تصوير شعاعي	n+f.radiography
تصوير فلكي	n+m.astrophotography
تصوير مقطعي	n+m.tomography
تصويرات	n+f.depictions@n+f.portrayals
تصويري	a.pictorial
تصوَّر	v.conceived
تصوُّر	n+f.visualization@n+m.conception@n+f.conceit@n+m.visioning
تصوّر	n+f.perception@v.visualized
تصيد	n+m.trolling
تصيد احتيالي	n+m.phishing
تضاءل	v.diminished
تضاريس	n+f.terrain@n+f.topography@n+f.landforms
تضاعف	v.doubled
تضامن	n+f.solidarity
تضحوي	a.sacrificial
تضحيات	n+f.sacrifices
تضحية	n+f.sacrifice@n+f.sacrificing
تضخم	n+m.inflation@n+m.hypertrophy
تضخمي	a.inflationary
تضخيم	n+m.amplification@n+m.inflating
تضرعات	n+f.litany
تضرّر	v.damaged
تضمين	n+f.implication@n+m.embedding
تضمينات	n+f.inclusions
تضور	n+m.starvation
تضيق	n+m.stenosis
تضييق	n+m.narrowing
تضيّق	n+m.constriction
تطابق	n+f.congruence
تطبق	n+f.stratification
تطبيع	n+m.normalization@n+f.naturalization@n+f.normalisation
تطبيعي	a.normalizing
تطبيق	n+m.application@n+f.implementation@n+m.enforcement@n+m.app@n+m.praxis
تطبيق صغير	n+m.applet
تطبيقات	n+f.applications@n+f.apps@n+f.implementations
تطبيقات صغيرة	n+f.applets
تطبيقي	a+m.applied
تطبيقية	a+f.applied
تطرف	n+m.extremism
تطرفات	n+f.extremes
تطريز	n+m.embroidery@n+f.applique@n+m.edging@n+m.needlework
تطريز بالإبرة	n+m.needlepoint
تطعيم	n+m.vaccination@n+m.grafting@n+f.immunisation@n+m.inoculation
تطعيم معدني	n+m.buhl
تطعيمات	n+f.vaccinations
تطفر	n+f.mutagenesis
تطفل	n+m.intrusion
تطفلي	a.intrusive
تطلع	n+f.aspiration
تطلّب	v.occasioned
تطهير	n+m.cleansing@n+f.purge@n+f.disinfection@n+m.purging
تطور	n+m.evolution@n+f.sophistication
تطورات	n+f.developments@n+f.advances@n+f.evolutions
تطوري	a.evolutionary@a.phylogenetic
تطورياً	ad.developmentally
تطوع	v.volunteered@n+m.volunteerism
تطوعي	a.voluntary
تطوير	n+m.development
تطويق	n+m.rimming
تطوَّر	v.evolved
تطوُّع	n+m.volunteering
تظاهر	n+m.pretending@v.marched@v.pretended@n+m.posturing
تظاهرات	n+f.shams
تظلم	n+m.grievance
تظليل	n+m.shading
تعادل	n+m.par@n+m.deuce
تعارض	v.conflicted
تعارضات	n+f.incompatibilities
تعازي	n+f.condolences
تعاسة	n+f.unhappiness
تعاطف	n+m.sympathy@n+m.empathy
تعاطفات	n+f.sympathies
تعاطي منشطات	n+m.doping
تعافى	v.recovered
تعافيات	n+f.recoveries
تعاقب	n+m.succession
تعاقد	n+m.contracting@v.contracted
تعاقد ثانوي	n+m.subcontracting
تعاقدات	n+f.signings
تعاقدي	a.contractual
تعاقدياً	ad.contractually
تعاليم	n+f.teachings@n+f.precepts
تعالٍ	n+m.transcendence
تعامل	n+m.handling@n+m.dealing@v.dealt
تعامل مع	v.fielded
تعاون	n+m.cooperation@n+m.collaboration@v.teamed@n+m.collaborating@n+m.cooperating@v.collaborated@n+m.teaming@n+m.helpfulness@v.cooperated
تعاونات	n+f.collaborations
تعاوني	a.cooperative@a.collaborative
تعاونيات	n+f.cooperatives@n+f.collectives
تعاونية	n+f.collective@n+f.cooperative
تعايش	n+m.coexistence
تعب	n+m.tiredness
تعبئة	n+m.packing@n+f.mobilization@n+m.bottling@n+f.mobilisation@n+m.bagging
تعبدي	a.devotional
تعبير	n+m.expression@n+f.articulation@n+m.voicing
تعبير أمريكي	n+f.americanism
تعبير اصطلاحي	n+m.idiom
تعبير نمطي	n+m.regex@n+m.regexp
تعبيرات	n+f.expressions
تعبيرات اصطلاحية	n+f.idioms
تعبيرية	n+f.expressionism
تعتيم	n+m.dimming@n+m.obfuscation
تعثر	v.stumbled
تعثّر	v.tripped
تعجب	n+f.exclamation
تعداد	n+f.population@n+m.enumeration@n+m.headcount
تعداد سكاني	n+m.census
تعدادات سكانية	n+f.censuses
تعدد أشكال	n+f.polymorphisms
تعدد إرسال	n+m.multiplexing
تعدد الأشكال	n+m.polymorphism
تعدد الأصوات	n+f.polyphony
تعدد الزوجات	n+m.polygamy
تعدد المهام	n+m.multitasking
تعددي	a.pluralistic
تعددية	n+f.plurality@n+f.multiplicity@n+f.pluralism
تعددية ثقافية	n+f.multiculturalism
تعديل	n+m.amendment@n+f.mod@n+m.adjustment@n+m.modification@n+m.alteration@n+f.modulation@n+m.amending@n+m.tweak@n+m.modding@n+m.tweaking
تعديلات	n+f.amendments@n+f.modifications@n+f.adjustments@n+f.mods@n+f.edits@n+f.alterations
تعديلات صغيرة	n+f.tweaks
تعدين	n+m.mining
تعدٍ	n+m.trespass
تعدٍّ	n+m.encroachment@n+m.transgression@n+m.trespassing
تعذيب	n+m.torture@n+m.racking@n+m.torturing
تعذيبات	n+f.tortures
تعرج	n+m.zig@n+m.meander
تعرجات	n+f.windings
تعرض	n+m.exposure
تعرق	n+m.sweating@n+f.perspiration
تعري	n+m.undressing@n+m.striptease
تعريف	n+m.definition@n+m.def@n+m.induction
تعريفات	n+f.definitions@n+f.tariffs@n+f.identifications
تعريفة	n+f.tariff
تعرُّضات	n+f.exposures
تعزية	n+m.consolation@n+f.condolence
تعزيز	n+m.augmentation@n+m.reinforcement@n+m.fostering@n+m.boosting@n+m.reinforcing@n+m.furthering@n+f.furtherance
تعزيزات	n+f.reinforcements
تعسفي	a.arbitrary
تعسفياً	ad.arbitrarily
تعشيب	n+m.weeding
تعشيش	n+m.nesting
تعشيق	n+m.dovetail
تعصب	n+m.intolerance@n+f.bigotry@n+m.fanaticism
تعصيب	n+m.innervation
تعطيل	n+m.disruption@n+f.inactivation
تعطيلات	n+f.disruptions
تعظيم	n+m.maximizing@n+m.maximising@n+f.maximization
تعفن	n+m.rot
تعفن الدم	n+m.sepsis
تعفنات	n+f.rots
تعقب	v.tailed
تعقيد	n+f.complexity@n+m.complication@n+f.convolution@n+m.knotting
تعقيدات	n+f.complexities@n+f.intricacies
تعقيم	n+f.sterilization@n+f.disinfection@n+f.sterility
تعقّب	v.stalked
تعلقات	n+f.clings
تعلم	n+m.learning@v.learned@v.learnt
تعليب	n+m.canning
تعليق	n+m.feedback@n+m.comment@n+f.annotation@n+m.commentary@n+m.suspension@n+m.hanging@n+m.hooking
تعليق صوتي	n+m.voiceover
تعليقات	n+f.comments@n+f.remarks@n+f.commentaries@n+f.captions@n+f.suspensions
تعليقات توضيحية	n+f.annotations
تعليم	n+m.education@n+m.teaching@n+f.instruction@n+m.marking@n+m.schooling@n+m.educating@n+m.educ
تعليم مسيحي	n+m.catechism
تعليم منزلي	n+m.homeschool@n+m.homeschooling
تعليمات	n+f.instructions@n+f.directions@n+f.directive
تعليمي	a+m.educational@a.instructional@a.instructive@a.didactic
تعليمياً	ad.educationally
تعليمية	a+f.educational
تعلّم	v.educated
تعميد	n+m.christening
تعميدات	n+f.baptisms
تعميدي	a.baptismal
تعميق	n+m.deepening
تعميم	n+m.generalization@n+m.generality
تعميمات	n+f.circulars@n+f.generalizations
تعنين	n+m.titling
تعهد	n+m.pledge@n+m.undertaking@v.pledged@v.undertook@v.vowed@n+m.pledging
تعهدات	n+f.pledges@n+f.undertakings
تعويذات	n+f.charms@n+f.spells@n+f.mantras
تعويذة	n+f.charm@n+f.spell@n+f.mantra@n+m.talisman
تعويض	n+m.compensation@n+m.offset@n+f.comp@n+m.reimbursement@n+f.indemnity@n+m.restitution@n+f.indemnification@n+m.compo@n+m.offsetting@n+m.recompense
تعويضات	n+f.amends@n+m.offsets@n+f.comps@n+f.reimbursements@n+f.reparations@n+f.reparation
تعويضي	a.compensatory@a.prosthetic@a.compensating@a.countervailing
تعيس	a.wretched
تعيين	n+m.mapping@n+m.appointment@n+m.designation@n+m.assigning@n+m.designating@n+m.appointing
تعيينات	n+f.appointments@n+f.assigns@n+f.designations@n+f.mappings
تغاضى عن	v.overlooked
تغذيات	n+f.feeds
تغذية	n+f.feed@n+f.nutrition@n+f.feeding@n+f.nourishment@n+f.alimentation
تغذية راجعة حيوية	n+f.biofeedback
تغريدة	n+f.chirp
تغطيات	n+f.coverages
تغطية	n+f.coverage@n+m.covering@n+m.decking@n+m.capping
تغطية بالنشارة	n+m.mulching
تغلب	n+m.overcoming
تغليف	n+m.packaging@n+m.wrapping@n+m.encapsulation@n+m.laminating@n+m.sheeting@n+f.sheathing
تغلّب على	v.overcame
تغوط	n+m.pooping
تغيب	n+m.absenteeism@n+m.truancy
تغير	v.changed
تغيير	n+m.change@n+m.altering@n+m.chg
تغيير الحجم	n+m.resizing
تغيير الحفاض	n+m.diapering
تغييرات	n+f.changes
تغيُّر	n+f.variability
تغيّر	n+f.variation@n+m.flux
تفاؤل	n+m.optimism
تفاح	n+f.apples
تفاح بيبين	n+m.pippin
تفاحة	n+f.apple
تفاخر	n+f.boasts@n+m.boast@n+m.bragging@v.boasted
تفادٍ	n+m.dodging
تفاصيل	n+f.details@n+f.detail@n+f.specifics@n+f.particulars
تفاصيل فنية	n+f.technicalities
تفاضلات	n+m.differentials
تفاضلي	a.differential
تفاعل	n+m.interaction@v.reacted@n+m.interplay@v.interacted
تفاعلات	n+f.interactions
تفاعلي	a+m.interactive@a.reactive
تفاعلية	a+f.interactive@n+f.reactivity@n+f.interactivity
تفاقم	v.worsened@n+f.aggravation
تفانٍ	n+m.dedication@n+f.devotion
تفاه	int.pah
تفاهم	n+m.understanding@n+m.rapport
تفاهمات	n+f.understandings
تفاوت	n+m.disparity
تفاوتات	n+f.disparities@n+f.tolerances
تفاوض	v.negotiated@v.bargained
تفتا	n+m.taffeta
تفتت	v.fragmented@v.crumbled
تفتيح	n+m.lightening
تفتيش	n+m.inspection@n+m.inspecting
تفتيشات	n+f.inspections
تفجير	n+m.blasting@n+f.detonation
تفجيرات	n+f.bombings
تفحّص	v.scrutinized
تفرد	n+f.uniqueness@n+f.singularity
تفردات	n+f.singularities
تفرع	n+m.branching@v.branched
تفرق	v.dispersed@n+f.dispersal
تفريخ	n+m.incubation@n+m.spawning
تفريش	n+m.brushing
تفريغ	n+m.discharge@n+f.transcription@n+m.unloading@n+m.unpacking@n+m.emptying
تفريغ كهربائي ساكن	n+m.esd
تفريغات	n+f.transcriptions
تفرّع	n+m.fork
تفسير	n+m.interpretation@n+m.explanation@n+m.exegesis
تفسيرات	n+f.explanations@n+f.interpretations
تفسيري	a.interpretive@a.expository@a.interpretative
تفشيات	n+f.outbreaks
تفشٍ	n+m.outbreak
تفصيل	n+m.detailing@n+f.elaboration
تفضل	int.voila
تفضيل	n+f.preference@n+f.pref
تفضيلات	n+f.preferences
تفضيلي	a.preferential
تفضيلياً	ad.preferentially
تفعل	v.dost
تفعيل	n+m.activation
تفقيس	n+m.hatching
تفكر	n+m.contemplation
تفكك	n+f.dissociation@n+m.disintegration@v.disintegrated
تفكير	n+m.thinking@n+m.reasoning@n+m.mindset
تفكيك	n+m.dismantling@n+m.disassembly@n+m.deconstruction
تفنيد	n+f.rebuttal@n+m.refutation
تفوق	n+m.advantage@n+f.superiority@n+f.supremacy@v.excelled
تفوق على	v.outperformed@v.trumped
تفويض	n+m.authorization@n+m.mandate
تفويض صلاحيات	n+f.devolution
تفويضات	n+f.mandates
تقادم	n+m.obsolescence
تقارب	n+m.convergence@n+f.affinity@v.converged
تقاربي	a.asymptotic
تقاربياً	ad.asymptotically
تقارير	n+f.reports@n+f.roundups
تقاضٍ	n+m.litigation
تقاطع	n+m.crossing@n+m.junction@n+m.intersection@n+m.crossover@n+f.jct
تقاطعات	n+f.intersections@n+f.junctions@n+f.crossovers@n+f.interchanges
تقاعد	n+m.retirement@n+f.pension@v.retired
تقاعدات	n+f.retirements
تقاليد	n+f.traditions
تقاويم	n+f.almanacs
تقبيل	n+m.kissing
تقدم	n+m.progress@n+m.advance@v.progressed@n+m.progressing@n+m.headway@n+m.furtherance@n+m.inroads
تقدمات	n+f.progresses@n+f.advancements@n+f.progressions
تقدمي	a+m.progressive
تقدمية	a+f.progressive
تقدميون	n+m.progressives
تقدير	n+f.recognition@n+m.estimate@n+m.discretion@n+m.appreciation@n+m.estimation@n+m.esteem@n+f.admiration@n+f.reckoning@n+m.commendation
تقدير أقل	n+m.underestimate
تقدير مُبالَغ فيه	n+m.overestimate
تقديرات	n+f.estimates@n+f.estimations
تقديري	a.discretionary
تقديس	n+f.consecration@n+m.sanctification
تقديم	n+m.submission@n+m.filing@n+m.rendering@n+m.submittal
تقديم رعاية	n+m.caregiving
تقديم عطاء	n+m.tendering
تقدُّم	n+m.advancement@n+m.progression
تقرحي	a.ulcerative
تقريب	n+m.approximation@n+m.rounding
تقريبات	n+f.approximations
تقريباً	ad.around@ad.almost@ad.approximately@ad.nearly@ad.virtually@ad.approx@ad.roughly
تقريبي	a.rough@a.approximate@a.ballpark@a.approximated@a.approximating
تقرير	n+m.report@n+m.rpt@n+m.writeup
تقرير صحفي	n+m.reportage
تقسيم	n+m.dividing@n+m.partitioning
تقسيم فرعي	n+m.subdivision
تقسيم مناطقي	n+m.zoning
تقسيمات فرعية	n+f.subdivisions
تقشر	v.chipped@v.encrusted@v.crusted
تقشير	n+m.peeling@n+m.paring
تقطير	n+f.distillation
تقطيع	n+m.chipping@n+m.slicing@n+m.chopping
تقطيع أوصال	n+m.dismemberment
تقلب	n+f.volatility@n+m.caprice@n+m.fluctuation@n+m.churning
تقلبات	n+f.ups@n+f.fluctuations
تقليد	n+m.tradition@n+f.imitation
تقليدات	n+f.imitations@n+f.knockoffs
تقليدي	a+m.traditional@a.conventional@a.trad
تقليدياً	ad.traditionally@ad.conventionally
تقليدية	a+f.traditional
تقليص	n+m.downsizing@n+m.curtailment
تقليل	n+m.reducing@n+m.minimizing@n+m.minimization@n+m.minimising@n+f.minimisation@n+m.lessening
تقليلية	n+f.minimalism
تقليم	n+m.trim@n+m.pruning@n+m.trimming
تقني	a+m.technical@n+m.technologist@n+m.techie@a.techie
تقنيات	n+f.technologies@n+f.techniques@n+f.technics
تقنياً	ad.technically@ad.technologically
تقنية	n+f.technology@a+f.technical@n+f.tech@n+f.technique@n+f.technic
تقنية النانو	n+f.nanotechnology
تقنية حيوية	n+f.biotechnology@n+f.biotech
تقنين	n+m.rationing@n+f.codification
تقنيون	n+m.techs@n+m.technologists@n+m.techies
تقوس	n+f.curvature@n+m.camber
تقوى	n+f.piety
تقوية	n+m.strengthening@n+m.toning@n+m.boning
تقويض	n+m.undermining
تقويم	n+m.calendar@n+m.almanac@n+m.straightening@n+m.rectification
تقويم أسنان	n+m.braces
تقويم الأسنان	n+m.orthodontics
تقويم فلكي	n+f.ephemeris
تقويمات	n+f.calendars
تقويمي	a.orthopaedic@a.orthodontic@a.orthotic
تقي	a.godly@a.pious
تقييد	n+f.restriction
تقييدي	a.restrictive
تقييم	n+m.rating@n+m.assessment@n+m.evaluation@n+m.appraisal@n+m.valuation@n+m.valuing
تقييمات	n+f.ratings@n+f.assessments@n+f.evaluations@n+f.appraisals@n+f.valuations
تقييمي	a.evaluative@a.appraising
تكاثر	n+m.reproduction@n+m.breeding@n+m.procreation
تكاثري	a.proliferative
تكافؤ	n+f.parity@n+f.equivalence@n+f.valence@n+m.equivalency
تكافل	n+m.symbiosis
تكافلي	a.symbiotic
تكاليف	n+f.costs
تكاليف عامة	n+f.overheads
تكامل	n+m.integration@n+m.integrity
تكاملات	n+f.integrals@n+f.integrations
تكاملي	a.integral@a.integrative
تكاملية	n+f.complementarity
تكبر	n+m.arrogance
تكبير	n+m.zoom@n+m.enlargement@n+m.magnification@n+m.zooming
تكبيرات	n+f.zooms@n+f.enlargements
تكبّد	v.incurred
تكتل	n+m.conglomerate@n+f.agglomeration
تكتلات	n+f.conglomerates@n+f.blocs
تكتوني	a.tectonic
تكتونيات	n+f.tectonics
تكتيك	n+m.tactic
تكتيكات	n+f.tactics
تكتيكي	a.tactical
تكثيف	n+m.condensation@n+m.thickening@n+f.intensification
تكديس	n+m.stacking@n+m.piling
تكرار	n+m.repeat@n+m.replication@n+m.duplication@n+m.repeating@n+f.redundancy@n+f.iteration@n+m.repetition@n+m.recurrence
تكرارات	n+f.reps@n+f.iterations@n+f.repetitions
تكراري	a.recursive@a.iterative@a.cyclical
تكرارية	n+f.recursion
تكرر	v.cycled
تكرير	n+m.refining
تكريس	n+m.consecration
تكريم	n+m.tribute@n+m.homage@n+m.accolade
تكريمات	n+f.honours@n+f.tributes
تكس	n+m.tex
تكساس	n+f.texas
تكساسي	a.texan@n+m.texan
تكساسيون	n+m.texans
تكساكو	n+f.texaco
