अँधेरा कमरा	n+m.darkroom
कसाब्लांका	n+f.casablanca
कसाव	n+m.tightening
कसावा	n+f.cassava
कसौटी	n+m.touchstone
कस्टम	a.custom
कस्टर	n+m.custer
कस्टर्ड	n+m.custard
कस्तूरी	n+m.musk
कस्बा	n+m.town
कस्बे	n+m.towns
कह रहा	v.saying
कहता है	v.says@v.remarks@v.saith
कहना	v.say@v.stating
कहने वाला	n+m.sayer
कहने वाले	n+m.sayers
कहलाया	a.called@v.hight
कहा	v.said@v.stated@v.dit@v.quoth
कहा गया	v.termed
कहाँ	ad.where@ad.whither
कहां	ad.wheres
कहानियाँ	n+f.stories@n+f.yarns
कहानियां	n+f.tales
कहानी	n+f.story@n+f.tale@n+f.storyline
कहानी की किताब	n+f.storybook
कहानी सुनाना	n+f.storytelling
कहानीकार	n+m.storyteller@n+m.storytellers
कहावत	n+f.saying@n+m.maxim@n+m.proverb@n+m.adage
कहावत संबंधी	a.proverbial
कहावतें	n+f.proverbs@n+f.sayings
कहीं	ad.somewhere@ad.someplace
कहीं ऐसा न हो	conj.lest
कहीं और	ad.elsewhere
कहीं नहीं	ad.nowhere
कहीं भी	ad.anywhere@ad.anyplace
कहूना	n+m.kahuna
क़ानून	n+m.statute@n+m.statutes
क़िंगदाओ	n+m.qingdao
क़िला	n+m.burg
क़ीमती सामान	n+m.valuables
का	prep.of@prep.de@prep.del@prep.der
का श्रेय दिया	v.ascribed
का श्रेय देना	v.attributed
काँच	n+m.glass
काँच का सामान	n+m.glassware
काँच लगाना	v.glazing
काँटा	n+f.barb@n+m.thorn
काँटे	n+m.forks@n+m.thorns
काँटेदार	a.barbed@a.prickly
काँपना	v.quake@v.shudder@v.shiver@v.tremble@v.quiver@v.shivering
कांगो	n+m.congo
कांगोली	a.congolese
कांग्रेस	n+m.congress@n+m.cong
कांग्रेस संबंधी	a.congressional
कांग्रेसमैन	n+m.congressman
कांग्रेसवुमन	n+f.congresswoman
कांग्रेसी	n+m.congressmen
कांच जैसा	a.glassy@a.vitreous
कांजी	n+m.kanji
कांट	n+m.kant
कांटा	n+m.fork@n+m.prong@n+f.tine
कांटे	n+m.barbs
कांटेदार	a.forked@a.spiny@a.thorny@a.pronged
कांटेदार झाड़ी	n+m.brier@n+f.bramble
कांप गया	v.shuddered
कांप रहा	v.trembling
कांपता हुआ	a.trembling@a.shaky@a.quivering
कांपता है	v.shivers
कांपना	v.quivering@v.quakes
कांपा	v.trembled
कांव कांव	n+f.caw
कांव कांव करना	v.caw
कांस्टेंटिनोपल	n+m.constantinople
कांस्य	n+m.bronze@a.bronze
काइनेज	n+m.kinase
काइरल	a.chiral
काइल	n+m.kyle
काइलिक्स	n+m.kylix
काई	n+f.moss@n+f.mosses
काई वाला	a.mossy
काउंट	n+m.earl
काउंटर	n+m.counter@n+m.counters
काउंटी	n+m.county@n+m.counties
काउंटेस	n+f.countess
काउगर्ल	n+f.cowgirl
काउज़	n+m.cowes
काउबॉय	n+m.cowboy@n+m.cowboys@n+m.buckaroo
काउली	n+m.cowley
काओहसीउंग	n+m.kaohsiung
काकेशस	n+m.caucasus
काकेशियाई	a.caucasian@n+m.caucasian
कागज	n+m.paper
कागज़ मोड़ने की कला	n+m.origami
कागज़रहित	a.paperless
कागज़ात	n+m.papers
कागज़ी कार्रवाई	n+m.paperwork
काजल	n+m.kohl
काज़ान	n+m.kazan
काजू	n+m.cashew
काट	n+f.bite
काट दिया	v.truncated@v.severed
काट निकालना	v.excise
काट रहा	v.cutting
काट-छांट की	v.pruned
काटता है	v.clips@v.cuts@v.crops@v.slices@v.chops@v.trims@v.slashes@v.nips@v.harvests@v.disconnects@v.prunes
काटना	v.cut@v.clip@v.crop@v.bite@v.slice@v.chopped@v.bites@v.slash@v.axe@v.harvesting@v.chop@v.biting@v.reap@v.deduct@v.pruning@v.jag@v.snip@v.trimming@v.clipping@v.cropping@v.shred@v.slicing@v.sever@v.chopping@v.slashing@v.lop@v.transect@v.reaping@v.hew@v.felling
काटने के निशान	n+m.bites
काटने वाला	n+m.reaper@n+m.slicer@n+m.feller@n+m.slasher
काटा	v.sliced@v.harvested@v.cropped@v.clipped@v.diced@v.bitten@v.slashed@v.excised@v.mowed
काटा हुआ	a.cropped@a.diced@a.docked
काठमांडू	n+m.kathmandu
काठिन्य	n+f.sclerosis
काठी	n+f.saddle@n+f.saddles
काठी कसना	v.saddle
काठी कसी	v.saddled
काठी डालता है	v.saddles
काठी पीठ	n+m.saddleback
काडिज़	n+m.cadiz
कातो	n+m.cato
कातोविसे	n+m.katowice
कान	n+m.ear@n+m.ears@n+m.cannes@n+m.kan@n+m.kahn
कान का संक्रमण	n+f.otitis
कान के बाले	n+m.earrings
कान दर्द	n+m.earache
कान वाला	a.eared
कान संबंधी	a.aural
कान-नाक-गला विज्ञान	n+f.otolaryngology
कानपुर	n+m.kanpur
काना	n+m.cana@n+f.kana
कानाज़ावा	n+m.kanazawa
कानून	n+m.law@n+m.laws@n+m.legislation@n+m.jus
कानून बनाना	v.legislate
कानूनी	a.legal
कानूनी तौर पर	ad.lawfully
कानूनी मामले	n+m.legals
कानूनी रूप से	ad.legally
कानूनी सहायक	a.paralegal
कानो	n+m.kano
काप्रा	n+m.capra
काफ़िर	n+m.heathen@n+m.infidel
काफ़ी बड़ा	a.sizable@a.sizeable
काफिर	n+m.infidels
काफिला	n+m.convoy
काफिले	n+m.convoys
काफी	ad.enough@ad.rather@ad.quite@ad.pretty@ad.fairly@a.considerable@a.goodly@ad.appreciably
काफी हद तक	ad.substantially@ad.considerably
काफ्का	n+m.kafka
काबायेरो	n+m.caballero
काबुकी	n+m.kabuki
काबुल	n+m.kabul
काम	n+m.work@n+m.jobs@n+m.job@n+m.kama@n+m.errands@n+m.errand
काम कर रहा	v.working
काम करता है	v.works
काम करना	v.work
काम का घोड़ा	n+m.workhorse
काम किया	v.worked@v.functioned
काम पर रखता है	v.hires
काम पर रखना	v.hiring
काम पर रखा	a.hired
कामचटका	n+f.kamchatka
कामदेव	n+m.cupid
कामसूत्र	n+m.kamasutra
कामाचो	n+m.camacho
कामातुर स्त्री	n+f.nympho
कामिकाज़े	n+m.kamikaze
कामी	n+m.kami
कामुक	a.erotic@a.horny@a.randy@a.sensual@a.lusty@a.steamy@a.carnal@a.voluptuous@a.lewd@n+m.lech
कामुक निगाहों से देखना	v.lech
कामुक साहित्य	n+f.erotica
कामुकता	n+f.sensuality
कामू	n+m.camus
कामेच्छा	n+f.libido
कामेहामेहा	n+m.kamehameha
कामोत्तेजक	n+m.aphrodisiac
कायक	n+f.kayak
कायम रखना	v.perpetuate
कायर	n+m.coward@a.coward@n+m.sissy@a.craven@a.cowardly@n+m.cowards
कायरता	n+f.cowardice
कायरॉन	n+m.chiron
कायरोप्रैक्टर	n+m.chiropractors@n+m.chiropractor
कायरोप्रैक्टिक	n+f.chiropractic
कायांतरित	a.metamorphic
कायाकल्प	n+m.makeover@n+m.facelift@n+f.rejuvenation
कायाकल्प करना	v.rejuvenate
कायापलट	n+f.metamorphosis@n+m.makeovers
कायुगा	n+m.cayuga
कार	n+f.car@n+f.auto@n+m.carr
कार पार्क	n+m.carpark
कार बॉडी	n+m.bodywork
कारक	n+m.factors@n+m.factor
कारकेसन	n+m.carcassonne
कारखाना	n+m.factory@n+m.mill
कारखाने	n+f.factories
कारण	n+m.cause@n+m.reason@n+m.reasons@n+m.causes
कारण बनता है	v.causes
कारण बनना	v.cause@v.causing
कारण बना	v.caused@v.occasioned
कारणता	n+f.causation
कारणात्मक	a.causal@a.causative
कारतूस	n+m.cartridge
कारनामा	n+m.feat@n+m.exploit
कारनामे	n+m.exploits
कारपूल	n+m.carpool
कारपूल करना	v.carpool
कारपोर्ट	n+m.carport
कारबाइन	n+f.carbine
कारमार्थनशायर	n+m.carmarthenshire
कारमेन	n+f.carmen
कारमेल	n+m.caramel
कारमैन	n+m.carman
कारवाँ	n+m.caravan@n+m.caravans
कारवेल	n+f.caravelle
कारा	n+f.kara@n+f.cara
काराकास	n+m.caracas
कारागार	n+f.prison@n+f.penitentiary
कारावास	n+f.imprisonment@n+m.confinement@n+f.incarceration@n+m.duress
कारिन	n+f.karin
कारी	n+f.kari
कारीगर	n+m.craftsman@n+m.artisan@n+m.handyman@n+m.artisans@n+m.craftsmen@n+m.journeyman@n+m.tradesmen
कारीगरी	n+f.workmanship@n+f.craftsmanship
कारुसो	n+m.caruso
कारें	n+f.cars@n+f.automobiles
कारोबार	n+m.turnover@n+m.turnovers
कार्ट	n+m.kart@n+f.karts
कार्टन	n+m.cartons@n+m.ctn
कार्टर	n+m.carter
कार्टरेट	n+m.carteret
कार्टाजेना	n+f.cartagena
कार्टियर	n+m.cartier
कार्टून	n+m.cartoon@n+m.cartoons
कार्टूनिंग	n+f.cartooning
कार्टूनिस्ट	n+m.cartoonist@n+m.cartoonists
कार्टूश	n+m.cartouche
कार्टेल	n+m.cartel@n+m.cartels
कार्टेशियन	a.cartesian
कार्ट्रिज	n+f.cartridge@n+m.cartridges
कार्ड	n+m.card@n+m.cards@n+f.cartes
कार्ड किया	v.carded
कार्डधारक	n+m.cardholder@n+m.cardholders
कार्डिगन	n+m.cardigan@n+f.cardigans
कार्डिन	n+m.cardin
कार्डिनल	n+m.cardinal@n+m.cardinals
कार्डिफ	n+m.cardiff
कार्डियो	n+m.cardio
कार्डियोमायोपैथी	n+f.cardiomyopathy
कार्डेनास	n+m.cardenas
कार्थेज	n+m.carthage
कार्नार्वन	n+m.carnarvon
कार्निवल	n+m.carnival
कार्निवाल	n+m.carnivals
कार्निस	n+f.cornice
कार्नी	n+m.carney
कार्नेगी	n+m.carnegie
कार्बन	n+m.carbon
कार्बनिक	a.carbonic
कार्बाइड	n+m.carbide
कार्बोनिल	n+m.carbonyl
कार्बोनेट	n+m.carbonate@n+m.carbonates
कार्बोनेटेड	a.carbonated
कार्बोहाइड्रेट	n+m.carbohydrate@n+m.carbohydrates
कार्ब्स	n+m.carbs
कार्माइकल	n+m.carmichael
कार्मार्थन	n+m.carmarthen
कार्मेल	n+m.carmel
कार्मेलो	n+m.carmelo
कार्य	n+m.work@n+m.act@n+m.works@n+m.function@n+m.functions@n+m.task@n+m.acts@n+m.tasks@n+m.assignment@n+m.assignments@n+m.deed@n+m.deeds@n+m.doings
कार्य करता है	v.functions@v.acts@v.undertakes
कार्य करना	v.act@v.function@v.functioning
कार्य दिवस	n+m.workdays
कार्य सप्ताह	n+m.workweek
कार्य सौंपना	n+m.tasking
कार्य सौंपा	v.tasked
कार्यकर्ता	n+m.activists@n+m.operative@n+m.activist@n+m.operatives
कार्यकारणता	n+f.causality
कार्यकारी	n+m.executive@a.executive@n+m.exec
कार्यकाल	n+f.tenure
कार्यक्रम	n+m.program@n+m.events@n+m.programs@n+m.event@n+m.programme@n+m.programmes@n+m.schedules@n+m.prog
कार्यक्रम संबंधी	a.programmatic
कार्यक्षमता	n+f.functionality
कार्यक्षमताएँ	n+f.functionalities
कार्यक्षेत्र	n+m.workspace
कार्यदक्षता विज्ञान	n+f.ergonomics
कार्यदिवस	n+m.weekday@n+m.weekdays@n+m.workday
कार्यपत्रक	n+f.worksheets
कार्यपुस्तिका	n+f.workbook
कार्यपुस्तिकाएँ	n+f.workbooks
कार्यप्रणाली	n+f.methodology@n+f.functioning@n+f.workings
कार्यप्रवाह	n+m.workflow@n+m.workflows
कार्यबल	n+f.workforce@n+f.taskforce
कार्यभार	n+m.workload@n+m.workloads
कार्यरत	a.working@a.employed
कार्यवस्तु	n+m.workpiece
कार्यवाही	n+f.proceedings@n+f.proceeding
कार्यशाला	n+f.workshop@n+m.atelier
कार्यशाला मेज़	n+f.workbench
कार्यशालाएँ	n+f.workshops
कार्यसूचियाँ	n+f.agendas
कार्यस्थल	n+m.workplace@n+f.workstations@n+m.workplaces
कार्यस्थान	n+m.workspaces
कार्यात्मक	a.functional@a.operational
कार्यात्मक रूप से	ad.functionally
कार्यान्वयन	n+m.implementation@n+f.implementations
कार्यान्वयनकर्ता	n+m.implementers
कार्यान्वित	a.implemented
कार्यालय	n+m.office@n+m.offices@n+m.bureau
कार्रवाइयाँ	n+f.actions
कार्रवाई	n+f.action
कार्रवाई योग्य	a.actionable
कार्ल	n+m.carl@n+m.karl
कार्लटन	n+m.carlton@n+m.carleton
कार्लसन	n+m.carlson
कार्ला	n+f.carla@n+f.karla
कार्लाइल	n+m.carlisle@n+m.carlyle
कार्लिंग	n+m.carling
कार्लिन	n+m.carlin
कार्ली	n+f.carly
कार्लो	n+m.carlo@n+m.carlow
कार्लोस	n+m.carlos
कार्ल्सबैड	n+m.carlsbad
कार्ल्सरूए	n+m.karlsruhe
कार्सन	n+m.carson
कार्सिनोजन	n+m.carcinogens
कार्सिनोजेन	n+m.carcinogen
कार्सिनोजेनेसिस	n+f.carcinogenesis
कार्सिनोमा	n+m.carcinoma@n+m.carcinomas
कार्स्ट	n+m.karst
काल	n+m.period@n+m.tense@n+m.tenses
कालकोठरी	n+m.dungeon@n+f.dungeons
कालक्रम	n+f.chronology@n+m.chron
कालक्रम से	ad.chronologically
कालगूर्ली	n+m.kalgoorlie
काला	a+m.black@a.ebony@a.raven@a.sable
काला किया	v.blackened
काला पक्षी	n+m.blackbird
काला बाज़ारी	n+m.scalper
काला रंग	n+m.black
कालातीत	a.timeless
कालानुक्रमिक	a.chronological
कालापन	n+f.blackness@n+m.darkening
कालाहारी	n+m.kalahari
कालिख	n+f.smut@n+f.soot
कालिख भरा	a.sooty
कालिनिनग्राद	n+m.kaliningrad
काली	a+f.black@n+m.cali@n+f.kali
काली आंख	n+m.shiner
काली खाँसी	n+f.pertussis
काली खाँसी वाला	a.whooping
