অ	a.non
উদ্ধারকর্তা	n+m.saviour@n+m.redeemer
উদ্ধারকারী	n+m.responders@n+m.lifeguard@n+m.rescuers@a.redeeming
উদ্ধারকৃত	a.rescued@a.redeemed
উদ্ধারমূলক	a.extractive
উদ্ধারযোগ্য	a.redeemable
উদ্ধৃত	a.quoted
উদ্ধৃত করল	v.excerpted
উদ্ধৃত করা	v.quote@v.cited@v.excerpt@v.quoted@v.cite@v.citing@v.quoting
উদ্ধৃত করে	v.quotes@v.cites
উদ্ধৃত ভাস্কর্য	n+f.reliefs
উদ্ধৃতাংশ	n+m.excerpt
উদ্ধৃতি	n+m.quote@n+m.quotes@n+f.citation@n+f.quotations@n+f.citations@n+f.quotation@n+m.excerpts@n+f.quoting@n+m.quot
উদ্ধৃতিযোগ্য	a.quotable
উদ্বায়িতা	n+f.volatility
উদ্বায়ী	a.volatile
উদ্বাস্তু	n+m.refugees@n+m.refugee@n+m.evacuees
উদ্বিগ্ন	a+m.concerned@a+f.concerned@a.nervous@a.anxious@a.edgy@a.apprehensive@a.distraught@a.uptight
উদ্বিগ্ন করে	v.concerns
উদ্বিগ্ন হওয়া	vi.fret
উদ্বিগ্ন হয়	v.frets
উদ্বিগ্নভাবে	ad.anxiously@ad.nervously
উদ্বুদ্ধ করছে	v.inducing
উদ্বুদ্ধ করা	vt.inspire@vt.induce@v.prompting
উদ্বুদ্ধ করে	vt.induces@vt.inspires@v.motivates
উদ্বৃত্ত	n+m.surplus@n+m.overflow@a.leftover@n+m.surpluses
উদ্বৃত্ত খাবার	n+m.leftovers
উদ্বেগ	n+f.concerns@n+f.concern@n+f.anxiety@n+f.angst@n+f.anxieties@n+f.impatience@n+f.restlessness@n+f.jitters
উদ্বেগজনক	v.concerning@a.worrying@a.stressful@a.alarming@a.troubling@a.fraught@a.worrisome
উদ্বেগমুক্ত	a.carefree
উদ্বোধন	n+m.opening@n+m.launch@n+f.launches@n+f.launching@n+m.inauguration@n+m.unveiling
উদ্বোধন করেছিল	v.inaugurated
উদ্বোধনী	a.inaugural@n+m.inaugurals@a.inaugurals
উদ্বোধিত	a.launched
উদ্ভট	a.bizarre@a.wacky@a.freaky@a.eccentric@a.ludicrous@a.grotesque@a.batty@a.zany@a.oddball@a.daffy
উদ্ভট জিনিস	n+m.oddity
উদ্ভট ব্যক্তি	n+m.wack@n+m.weirdo@n+m.kooks
উদ্ভটতা	n+f.weirdness@n+f.eccentricity
উদ্ভব	n+f.emergence@n+f.outbreak
উদ্ভব হওয়া	v.emerging@v.arising@v.arise@v.arose
উদ্ভব হয়	v.arises
উদ্ভবকারী	a.originating
উদ্ভাবক	n+m.inventor@n+m.originator@n+m.inventors@n+m.innovator@n.innovators@n+m.originators
উদ্ভাবন	n+f.innovation@n+f.invention@n+f.innovations@n+f.discoveries@n+m.inventions@n+f.brainchild
উদ্ভাবন করছে	v.inventing
উদ্ভাবন করা	vt.invent@vt.devise@vi.innovate@v.devising@v.improvise@v.innovating
উদ্ভাবন করেছে	v.devised
উদ্ভাবনী	a.innovative@a.inventive
উদ্ভাবিত	a.invented
উদ্ভাবিত পানীয়	n+f.concoction
উদ্ভিজ্জ	a.vegetable@a.vegetative
উদ্ভিদ	n+m.plant@n+m.plants@n+f.vegetation
উদ্ভিদ উদ্যান	n+m.arboretum
উদ্ভিদ প্লবক	n+m.phytoplankton
উদ্ভিদ সংক্রান্ত	a.botanical
উদ্ভিদ সংগ্রহশালা	n+m.herbarium
উদ্ভিদ সম্পর্কিত	a.botanic@a.botanicals
উদ্ভিদকুল	n+f.flora
উদ্ভিদজাত	n.botanicals
উদ্ভিদবিজ্ঞানী	n+m.botanist
উদ্ভিদবিদ্যা	n+f.botany
উদ্ভিদবিদ্যা বিষয়ক	a.botanical
উদ্ভিদাবৃত	a.vegetated
উদ্ভূত	a.derived@a.arising@a.incurred@a.emerged@a.derivative@a.nascent
উদ্ভূত বস্তু	n+m.derivative
উদ্ভূত হওয়া	v.derived@vi.emerge@vt.derive@v.deriving
উদ্ভূত হচ্ছে	v.emanating@v.springing
উদ্ভূত হয়	v.stems@vi.emerges@vt.derives
উদ্ভূত হল	v.stemmed
উদ্যম	n+f.energies@n+m.esprit@n+m.elan@n+m.zeal@n+f.moxie
উদ্যমী	a.energetic@a.spirited@a.energized@a.enterprising@a.zealous
উদ্যান	n+m.park@n+m.parks@n+f.orchard
উদ্যান গৃহ	n.conservatories
উদ্যান ভূমি	n+m.parkland
উদ্যানপালন	n+f.gardening
উদ্যানবিদ্যা	n+f.horticulture
উদ্যানবিদ্যা সংক্রান্ত	a.horticultural
উদ্যোক্তা	n+m.entrepreneur@n+m.entrepreneurs@n+m.promoter@n+f.entrepreneurship@n+m.initiator
উদ্যোক্তা সংক্রান্ত	a.entrepreneurial
উদ্যোগ	n+f.enterprise@n+f.enterprises@n+f.initiative@n+f.initiatives@n+m.venture@n+f.ventures@n+f.undertaking@n+m.undertakings
উদ্যোগ নেওয়া	vt.initiate
উনচল্লিশ	n+m.xxxix
উনা	n+f.una
উনিশ	n+m.nineteen@a.nineteen
উনিশতম	n+m.nineteenth
উনুন	n+f.stove@n+f.ovens@n+f.stoves@n+m.hearth
উনুনের পাশ	n+m.fireside
উন্নত	a+m.advanced@a+f.advanced@a+m.developed@a+f.developed@a+m.improved@a+f.improved@a.enhanced@a.sublime@a.evolved@a.elevated@a.uplifted
উন্নত করছে	v.cultivating@v.elevating
উন্নত করা	v.improve@v.enhance@v.enhanced@v.upgrades@v.enhancing@v.upgrading@v.upgraded@vt.enrich@vt.hone@vt.uplift@v.heighten@v.upping
উন্নত করা হয়েছে	v.developed@v.improved
উন্নত করে	v.enhances@v.enriches
উন্নত করেছিল	v.honed
উন্নত করেছে	v.upped
উন্নতকারী	n+m.enhancer@n.enhancers
উন্নতশীল	a.prosperous
উন্নতি	n+f.development@n+m.improvement@n+f.improvements@n+m.enhancement@n+f.elevation@n+f.enhancements@n+f.advancement@n+f.altitude@n+f.enrichment@n+m.turnaround@n.refinements@n.advancements@n+f.headway@n+f.furtherance@n+m.betterment
উন্নতি করছে	v.thriving@v.progressing@v.flourishing@v.furthering
উন্নতি করল	v.flourished
উন্নতি করা	v.improve@v.improving@vi.prosper@vt.cultivate@v.ameliorate
উন্নতি করে	v.improves
উন্নতি করেছে	v.progressed@v.thrived@v.prospered
উন্নতি সাধন	n+f.perfecting
উন্নতিকারক	n+m.optimizer
উন্নতিশীল	a.improving@a.progressives
উন্নয়ন	n+m.development@n+f.improvement@n+m.improvements@n+m.developments@n+m.boosting@n+m.elevations@n+f.betterment
উন্নয়ন করছে	v.developing
উন্নয়ন করা	v.develop
উন্নয়ন করে	v.develops
উন্নয়নকারী	n+m.developer
উন্নয়নমূলক	a.developmental@a.uplifting
উন্নয়নমূলকভাবে	ad.developmentally
উন্নয়নযোগ্য	a.upgradeable
উন্নয়নশীল	a+m.developing@a+f.developing
উন্নীত করা	v.promoting@vt.elevate
উন্নীত করে	v.elevates
উন্মত্ত	a.manic@a.frantic@a.gonzo@a.raving@a.rabid@a.crazed@a.delirious@a.berserk@a.frenzied@a.frenetic
উন্মত্ত বকুনি	n+f.ravings
উন্মত্ত বক্তৃতা	n+m.rantings
উন্মত্ততা	n+m.frenzy@n+m.delirium@n+m.fanaticism@n+f.craziness
উন্মত্তভাবে	ad.wildly@ad.madly@ad.frantically@ad.amok@ad.insanely
উন্মাদ	a.insane@n+m.freaks@n+m.psycho@n+m.maniac@n+m.madman@a.lunatic@n.maniacs@a.demented@a.wacko@n+m.lunatics@a.bonkers
উন্মাদনা	n+f.madness@n+f.mania@n+f.insanity@n+f.frenzy@n+m.craze@n+f.hysteria@n+f.lunacy@n+f.infatuation
উন্মুক্ত	a.exposed@a.bare@a.stripped@a.uncovered@a.unleashed@ad.ope
উন্মুক্ত করছে	v.subjecting@v.unleashing
উন্মুক্ত করা	v.bare@vt.expose@v.exposing
উন্মুক্তকরণ	n+f.exposures
উন্মুক্ততা	n+f.openness
উন্মোচন করছে	v.unveiling@v.uncovering@v.baring
উন্মোচন করা	v.reveal@v.unveiled@v.unveils@vt.uncover@vt.unveil@vt.unravel@v.unearth
উন্মোচন করে	v.reveals@vt.exposes@vt.unfolds@v.uncovers
উন্মোচন করেছিল	v.unearthed
উন্মোচনকারী	a.revealing
উন্মোচিত	a.unmasked
উন্মোচিত হচ্ছে	a.unfolding
উন্মোচিত হল	v.unfolded
উপ	a.sub@n+m.deputy
উপ অনুচ্ছেদ	n+m.subparagraph
উপ-অঞ্চল	n+m.subregion
উপ-ইউনিট	n+m.subunit
উপ-ইজারা	n+m.sublease
উপ-ইজারা দেওয়া	v.sublease
উপ-কমিটি	n+f.subcommittee
উপ-কর্মকর্তা	n+m.deputies
উপ-চুক্তি	n+m.subcontract
উপ-চুক্তি করা	vt.subcontract
উপ-চূড়ান্ত	n.semifinals
উপ-ঠিকাদার	n+m.subcontractor@n+m.subcontractors
উপ-ঠিকাদারি	n+m.subcontracting
উপ-ফোল্ডার	n.subdirectories
উপ-রুটিন	n+f.subroutines
উপঅধ্যায়	n+m.subchapter
উপএকক	n.subunits
উপএককা	n+f.subunit
উপকণ্ঠ	n+m.suburbs@n+m.outskirts
উপকথা	n+m.fable@n.fables
উপকমিটি	n+f.subcommittees
উপকর	n+f.cess
উপকরণ	n+m.instrument@n+f.ingredients@n+f.appliance@n+f.ingredient
উপকাঠামো	n+f.substructure
উপকার করছে	v.benefiting
উপকার করা	v.oblige
উপকারিতা	n+f.helpfulness
উপকারী	a+m.useful@a+f.useful@a.beneficial@a.wholesome@a.healthful
উপকারীভাবে	ad.beneficially
উপকাহিনী	n+m.subplot
উপকূল	n+m.coast@n+m.shore@n+m.shores@n+m.shoreline@n+m.coasts
উপকূল অঞ্চল	n+m.littoral
উপকূল রেখা	n+m.shorelines
উপকূলবর্তী	a.inshore@a.nearshore
উপকূলরক্ষী	n+m.coastguard
উপকূলরেখা	n+f.coastline@n+f.coastlines
উপকূলীয়	a.coastal@a.seaboard@a.littoral
উপকূলে	ad.ashore
উপকৃত হওয়া	v.benefit
উপকৃত হচ্ছে	v.profiting
উপকৃত হয়েছে	v.benefited
উপকেন্দ্র	n+f.substation
উপকোষীয়	a.subcellular
উপক্রান্তীয়	a.subtropical
উপক্ষেত্র	n+m.subfield
উপগোষ্ঠী	n+m.subgroup@n+f.subgroups
উপগ্রহ	n+m.satellite@n+m.satellites@n+m.moons
উপচুক্তি করে	v.subcontracts
উপচে পড়ছে	v.overflowing@v.brimming
উপচে পড়া	vi.overflow@a.bursting@a.overfull@a.overflowing@n+m.spillovers
উপচে পড়া তরল	n+f.spillage
উপচে পড়ার পথ	n+m.spillway
উপচে পড়ে	v.overflows
উপচে পড়েছে	v.overflowed
উপজাত	n+m.byproducts
উপজাত দ্রব্য	n+m.byproduct
উপজাতি	n+f.tribe@n+f.tribes
উপজাতীয়	a.tribal
উপঠিকা	n+m.subcontracts
উপডিরেক্টরি	n+m.subdirectory
উপত্যকা	n+f.valley@n+m.dale@n+m.glen@n+f.vale@n+f.valleys@n+f.glade@n.dales@n+f.dells@n+m.ravine@n+m.glens@n+f.dene@n+f.combe
উপদল	n+m.subgroup@n+m.faction@n+f.factions@n+m.subgroups
উপদেশ	n+m.advice@n+f.advising@n+f.teachings@n+m.precepts@n+f.precept@n+f.advisement@n+m.advices@n+m.rede@n+f.exhortation
উপদেশ দিয়েছিল	v.lectured
উপদেশ দিয়েছে	v.preached
উপদেশ দেওয়া	v.advise@vt.preach@n+f.lecturing
উপদেশ দেয়	vt.advises
উপদেশক	n.preachers
উপদেশক পুস্তক	n+m.ecclesiastes
উপদেশমূলক	a.didactic
উপদেষ্টা	n+m.advisor@n+f.advisor@a+m.advisory@a+f.advisory@n+m.advisors@n+m.adviser@n+m.advisers@n+m.counsellor@n+m.counsels@n+m.preceptor
উপদেষ্টামূলক	a.consultative
উপদ্বীপ	n+f.peninsula
উপদ্বীপীয়	a.peninsular
উপদ্রব	n+m.nuisance@n+f.infestation@n+m.annoyances@n+f.infestations
উপদ্রব করেছিল	v.infested
উপধারা	n+m.subsection@n+f.subsections@n+m.subgenre
উপনদী	n+m.tributary@n.tributaries
উপনাম	n+m.nickname@n+f.aliases
উপনিবেশ	n+f.colony@n+f.colonies
উপনিবেশ করা হয়েছে	v.colonized
উপনিবেশক	n+m.settlers
উপনিবেশবাদ	n+m.colonialism
উপনিবেশবাসী	n+m.colonists@n+m.colonials
উপনিবেশায়ন	n+m.colonization
উপনিবেশিত	a.colonized
উপনিবেশোত্তর	a.postcolonial
উপন্যাস	n+m.novel@n+m.novels
উপন্যাসকার	n+m.novelist
উপপত্নী	n+f.mistress@n+f.mistresses
উপপথ	n+m.byways
উপপরিবার	n+f.subfamily
উপপাদ্য	n+m.theorem@n+m.propositions@n.theorems
উপপৃষ্ঠ	n+m.subsurface
উপপ্রকার	n+m.subtype@n+m.subtypes
উপপ্রজাতি	n+f.subspecies
উপবাক্য	n+m.clause
উপবাস	n+m.fasting
উপবিধি	n+m.bylaws@n+m.bylaw
উপবিভক্ত করেছিল	v.subdivided
উপবিভাগ	n+f.subsection@n+f.subdivision@n+f.subcategories@n+m.subsections@n+f.subdivisions@n+m.subcategory
উপবৃত্ত	n+f.ellipse@n+m.ellipsis@n+f.ellipses
উপবৃত্তাকার	a.elliptical@a.elliptic@n+m.ellipsoid
উপবৃত্তি	n+m.stipends
উপব্যবস্থা	n+m.subsystem@n.subsystems
উপভাড়া	n+m.sublets@n+m.sublet
উপভাড়া দেওয়া	v.sublet
উপভাড়া দেয়	v.sublets
উপভাষা	n+m.dialect@n.dialects
উপভোগ	n+m.enjoyment
উপভোগ করা	v.enjoy@v.enjoyed@v.enjoying@vt.relish@v.bask
উপভোগ করে	v.enjoys
উপভোগ্য	a.enjoyed@a.enjoyable
উপমহাদেশ	n+m.subcontinent
উপমা	n+m.analogy@n+m.metaphor@n.metaphors@n+f.analogies@n+f.simile
উপমামূলক	a.allegorical
উপমোট	n+m.subtotal
উপযুক্ত	a+m.appropriate@a+f.appropriate@a.suitable@a.fitting@a.worthy@a.apt@a.suited@a.opportune
উপযুক্ততা	n+f.suitability@n+f.appropriateness
উপযুক্তভাবে	ad.appropriately@ad.suitably@ad.aptly
উপযোগবাদী	a.utilitarian
উপযোগবাদী ব্যক্তি	n+m.utilitarian
উপযোগিতা	n+f.utilities@n+f.utility@n+f.usefulness
উপযোগী	a.expedient@a.utile
উপযোগীভাবে	ad.usefully
উপর	prep.on@prep.up@prep.over@prep.upon@prep.onto@prep.sur
উপরন্তু	ad.additionally
উপরিকাঠামো	n+f.superstructure
উপরিতল	a.shallow
উপরিব্যয়	n+m.overhead@n+m.overheads
উপরিভাগে	ad.superficially
উপরিভাগের	a.superficial
উপরিস্থ তরল	n+m.supernatant
উপরিস্থাপন	n+f.superposition
উপরুটিন	n+f.subroutine
উপরে	prep.on@ad.up@prep.above@ad.above@prep.upon@prep.onto@a.overhead@ad.overhead@ad.supra@prep.aboard@ad.upstairs@prep.atop@ad.aloft
উপরে অবস্থিত	a.overlying
উপরে আসছে	v.surfacing
উপরে উঠা	v.ascending
উপরে উঠেছিল	v.surfaced
উপরে চাপিয়ে দিল	v.superimposed
উপরে তোলে	v.elevates
উপরে বলা	a.aforesaid
উপরে লেখা	vt.overwrite
উপরে শুয়ে আছে	v.overlying
