the	art+m.der@art+f.die@art+n.das
objects	n+m.Objekte@n+m.Gegenstände
ends	n+n.Enden@v.endet
delete	v.löschen
evening	n+m.Abend
assembly	n+f.Versammlung@n+f.Montage
nuclear	a.nuklear@a.Kern
taxes	n+f.Steuern
mouse	n+f.Maus
signal	n+n.Signal@v.signalisieren
criminal	a.kriminell@n+m.Verbrecher
issued	v.veröffentlichte@a.ausgegeben
brain	n+n.Gehirn
sexual	a.sexuell
wisconsin	n+n.Wisconsin
powerful	a.mächtig@a+m.leistungsstarker@a+f.leistungsstarke@a+n.leistungsstarkes
dream	n+m.Traum@v.träumen
obtained	v.erhielt@a.erhalten
false	a.falsch
cast	n+f.Besetzung@n+m.Guss@v.werfen
flower	n+f.Blume
felt	v.fühlte@n+m.Filz
personnel	n+n.Personal
passed	v.passierte@v.bestand
supplied	v.lieferte@a.geliefert
identified	v.identifizierte@a.identifiziert
falls	n+m.Fälle@n+f.Wasserfälle@v.fällt
pic	n+n.Bild@n+n.Foto
soul	n+f.Seele
aids	n+n.AIDS@n+f.Hilfen
opinions	n+f.Meinungen
promote	v.fördern@v.bewerben
stated	v.erklärte@a.angegeben
stats	n+f.Statistiken
hawaii	n+n.Hawaii
professionals	n+m.Profis@n+m.Fachleute
appears	v.erscheint
carry	v.tragen@v.transportieren
flag	n+f.Flagge@n+f.Fahne
decided	v.entschied@a.entschieden
covers	n+f.Abdeckungen@n+n.Cover@v.deckt ab
advantage	n+m.Vorteil
hello	int.hallo@n+n.Hallo
designs	n+n.Designs@n+m.Entwürfe@v.entwirft
maintain	v.pflegen@v.beibehalten@v.warten
tourism	n+m.Tourismus
priority	n+f.Priorität
newsletters	n+m.Newsletter
adults	n+m.Erwachsene
clips	n+m.Clips@n+f.Klammern
savings	n+f.Ersparnisse@n+f.Einsparungen
graphic	n+f.Grafik@a.grafisch
atom	n+n.Atom
payments	n+f.Zahlungen
estimated	a.geschätzt@v.schätzte
binding	n+f.Bindung@a.bindend
brief	a+m.kurzer@a+f.kurze@a+n.kurzes@n+n.Schreiben
ended	v.endete@a.beendet
winning	a.gewinnend@v.gewinnend@n+n.Gewinnen
eight	n+f.Acht@a.acht
anonymous	a.anonym
iron	n+n.Eisen@n+n.Bügeleisen@v.bügeln
straight	a+m.gerader@a+f.gerade@a+n.gerades@ad.direkt
script	n+n.Skript@n+f.Schrift
served	v.diente@v.servierte
wants	v.will
miscellaneous	a.verschiedenes@a.sonstiges
prepared	a.vorbereitet@v.bereitete vor
void	n+f.Leere@n+n.Vakuum@a.nichtig
dining	n+n.Essen@n+n.Speisen@v.speisend
alert	n+m.Alarm@n+f.Warnung@a.wachsam@v.alarmieren
integration	n+f.Integration
atlanta	n+n.Atlanta
dakota	n+n.Dakota
tag	n+m.Tag@n+n.Etikett@v.markieren
interview	n+n.Interview@n+n.Vorstellungsgespräch@v.interviewen
mix	n+f.Mischung@n+m.Mix@v.mischen
framework	n+n.Framework@n+m.Rahmen
disk	n+f.Festplatte@n+f.Scheibe
installed	a.installiert@v.installierte
queen	n+f.Königin
credits	n+m.Credits@n+f.Gutschriften
clearly	ad.klar@ad.deutlich
fix	v.reparieren@v.beheben@n+f.Lösung
handle	n+m.Griff@v.handhaben@v.umgehen
sweet	a+m.süßer@a+f.süße@a+n.süßes@n+f.Süßigkeit
desk	n+m.Schreibtisch
criteria	n+n.Kriterien
dave	n+m.Dave
massachusetts	n+n.Massachusetts
diego	n+n.Diego
hong	n+n.Hong
vice	n+n.Laster@n+f.Stellvertretung@pref.Vize
associate	n+m.Partner@n+m.Kollege@v.assoziieren
truck	n+m.Lastwagen@n+m.LKW
enlarge	v.vergrößern
ray	n+m.Strahl
frequently	ad.häufig@ad.oft
revenue	n+m.Umsatz@n+f.Einnahme
measure	n+f.Maßnahme@n+n.Maß@v.messen
changing	a.wechselnd@v.wechselnd
votes	n+f.Stimmen@v.stimmt ab
duty	n+f.Pflicht@n+m.Zoll
looked	v.schaute
discussions	n+f.Diskussionen
bear	n+m.Bär@v.tragen@v.ertragen
gain	n+m.Gewinn@n+f.Zunahme@v.gewinnen
festival	n+n.Festival@n+n.Fest
laboratory	n+n.Labor
ocean	n+m.Ozean@n+n.Meer
flights	n+m.Flüge
experts	n+m.Experten
signs	n+n.Zeichen@n+f.Schilder@v.unterschreibt
lack	n+m.Mangel@v.mangeln
depth	n+f.Tiefe
iowa	n+n.Iowa
whatever	pron.was auch immer
logged	v.loggte@a.eingeloggt
laptop	n+m.Laptop
vintage	n+m.Jahrgang@a.Vintage
train	n+m.Zug@v.trainieren
exactly	ad.genau@ad.exakt
dry	a+m.trockener@a+f.trockene@a+n.trockenes@v.trocknen
explore	v.erkunden@v.erforschen
maryland	n+n.Maryland
spa	n+n.Spa@n+n.Wellnesscenter
concept	n+n.Konzept
nearly	ad.fast@ad.beinahe
eligible	a.berechtigt@a.wählbar
checkout	n+f.Kasse@n+m.Checkout
reality	n+f.Realität@n+f.Wirklichkeit
forgot	v.vergaß
handling	n+f.Handhabung@n+f.Abwicklung@v.handhabend
origin	n+m.Ursprung@n+f.Herkunft
knew	v.wusste@v.kannte
gaming	n+n.Gaming@n+n.Spielen
feeds	n+m.Feeds@v.füttert
billion	n+f.Milliarde
destination	n+n.Ziel@n+f.Destination
scotland	n+n.Schottland
faster	ad.schneller@a+m.schnellerer@a+f.schnellere@a+n.schnelleres
intelligence	n+f.Intelligenz@n+m.Geheimdienst
dallas	n+n.Dallas
bought	v.kaufte
con	n+m.Betrug@pref.gegen
ups	n+m.UPS@n+f.Höhen und Tiefen
nations	n+f.Nationen
route	n+f.Route@n+f.Strecke
followed	v.folgte@a.gefolgt
specifications	n+f.Spezifikationen
broken	a.gebrochen@a.kaputt
frank	a+m.offener@a+f.offene@a+n.offenes@n+m.Frank
alaska	n+n.Alaska
zoom	n+m.Zoom@v.zoomen
blow	n+m.Schlag@v.blasen
battle	n+f.Schlacht@n+m.Kampf@v.kämpfen
residential	a.Wohn@a.Wohngebiets
anime	n+m.Anime
speak	v.sprechen
decisions	n+f.Entscheidungen
industries	n+f.Industrien@n+f.Branchen
protocol	n+n.Protokoll
query	n+f.Abfrage@n+f.Anfrage@v.abfragen
clip	n+m.Clip@n+f.Klammer@v.schneiden
partnership	n+f.Partnerschaft
editorial	a.redaktionell@n+m.Leitartikel
expression	n+m.Ausdruck@n+f.Expression
equity	n+n.Eigenkapital@n+f.Gerechtigkeit
provisions	n+f.Bestimmungen@n+m.Vorräte
speech	n+f.Rede@n+f.Sprache
wire	n+m.Draht@n+f.Leitung@v.verdrahten
principles	n+f.Prinzipien@n+m.Grundsätze
suggestions	n+f.Vorschläge
rural	a.ländlich
shared	a.geteilt@v.teilte
sounds	n+m.Klänge@n+n.Geräusche@v.klingt
replacement	n+m.Ersatz@n+f.Ersetzung
tape	n+n.Band@n+n.Klebeband@v.aufnehmen
strategic	a.strategisch
judge	n+m.Richter@n+f.Richterin@v.urteilen
spam	n+m.Spam
economics	n+f.Wirtschaft@n+f.Volkswirtschaftslehre
acid	n+f.Säure@a.sauer
bytes	n+n.Bytes
cent	n+m.Cent
forced	a.gezwungen@v.zwang
compatible	a.kompatibel
fight	n+m.Kampf@v.kämpfen
apartment	n+f.Wohnung
height	n+f.Höhe@n+f.Größe
null	n+n.Null@a.null
zero	n+f.Null@a.null
speaker	n+m.Sprecher@n+m.Lautsprecher
filed	v.reichte ein@a.abgelegt
netherlands	n+f.Niederlande
obtain	v.erhalten@v.beschaffen
consulting	n+f.Beratung@v.beratend
recreation	n+f.Erholung@n+f.Freizeitgestaltung
offices	n+n.Büros@n+n.Ämter
designer	n+m.Designer@n+f.Designerin
remain	v.bleiben@v.verbleiben
managed	v.verwaltete@a.verwaltet
failed	v.versagte@a.gescheitert
marriage	n+f.Ehe@n+f.Hochzeit
roll	n+f.Rolle@n+n.Brötchen@v.rollen
korea	n+n.Korea
banks	n+f.Banken
participants	n+m.Teilnehmer
secret	n+n.Geheimnis@a.geheim
bath	n+n.Bad@n+f.Badewanne
kelly	n+f.Kelly
leads	v.führt@n+f.Leads
negative	a.negativ@n+n.Negativ
austin	n+n.Austin
toronto	n+n.Toronto
springs	n+f.Quellen@n+f.Federn@v.springt
missouri	n+n.Missouri
andrew	n+m.Andrew
var	n+f.Variable
perform	v.ausführen@v.auftreten
healthy	a+m.gesunder@a+f.gesunde@a+n.gesundes
translation	n+f.Übersetzung
estimates	n+f.Schätzungen@v.schätzt
font	n+f.Schriftart
assets	n+n.Vermögen@n+f.Aktiva
injury	n+f.Verletzung
joseph	n+m.Josef
ministry	n+n.Ministerium
drivers	n+m.Fahrer@n+m.Treiber
lawyer	n+m.Anwalt@n+f.Anwältin
figures	n+f.Zahlen@n+f.Figuren
married	a.verheiratet
protected	a.geschützt@v.schützte
proposal	n+m.Vorschlag@n+m.Antrag
sharing	n+n.Teilen@v.teilend
philadelphia	n+n.Philadelphia
portal	n+n.Portal
waiting	v.wartend@n+n.Warten
birthday	n+m.Geburtstag
beta	n+n.Beta
fail	v.versagen@v.scheitern@n+m.Versagen
gratis	a.gratis@ad.kostenlos
banking	n+n.Bankwesen@v.bankend
officials	n+m.Beamte@n+m.Funktionäre
brian	n+m.Brian
toward	prep.in Richtung@prep.zu
won	v.gewann
slightly	ad.leicht@ad.geringfügig
assist	v.unterstützen@v.helfen
conduct	n+n.Verhalten@n+f.Führung@v.durchführen
contained	v.enthielt@a.enthalten
lingerie	n+f.Unterwäsche@n+f.Dessous
legislation	n+f.Gesetzgebung
calling	n+f.Berufung@v.rufend
parameters	n+m.Parameter
jazz	n+m.Jazz
serving	n+f.Portion@v.dienend
bags	n+f.Taschen@n+m.Beutel
profiles	n+n.Profile
miami	n+n.Miami
comics	n+m.Comics
matters	n+f.Angelegenheiten@v.spielt eine Rolle
houses	n+n.Häuser
doc	n+m.Dok@n+n.Dokument
postal	a.Post@a.postalisch
relationships	n+f.Beziehungen
tennessee	n+n.Tennessee
wear	v.tragen@n+f.Kleidung
controls	n+f.Kontrollen@v.kontrolliert
breaking	v.brechend@a.brechend
combined	a.kombiniert@v.kombinierte
ultimate	a.ultimativ@a+m.letzter@a+f.letzte@a+n.letztes
wales	n+n.Wales
representative	n+m.Vertreter@n+f.Vertreterin@a.repräsentativ
frequency	n+f.Frequenz@n+f.Häufigkeit
introduced	v.führte ein@a.eingeführt
minor	a+m.kleinerer@a+f.kleinere@a+n.kleineres@n+m.Minderjähriger
finish	n+n.Ende@n+m.Abschluss@v.beenden
departments	n+f.Abteilungen
residents	n+m.Bewohner@n+m.Einwohner
noted	v.bemerkte@a.bemerkenswert
displayed	v.zeigte@a.angezeigt
reduced	a.reduziert@v.reduzierte
physics	n+f.Physik
rare	a+m.seltener@a+f.seltene@a+n.seltenes
spent	v.verbrachte@v.ausgab
performed	v.führte durch@a.ausgeführt
extreme	a.extrem@n+n.Extrem
samples	n+f.Proben@n+n.Muster
davis	n+m.Davis
daniel	n+m.Daniel
bars	n+f.Bars@n+m.Riegel
reviewed	v.überprüfte@a.geprüft
row	n+f.Reihe@n+f.Zeile@v.rudern
forecast	n+f.Vorhersage@n+f.Prognose@v.vorhersagen
removed	v.entfernte@a.entfernt
helps	v.hilft@n+f.Hilfen
singles	n+f.Singles
administrator	n+m.Administrator@n+m.Verwalter
cycle	n+m.Zyklus@n+n.Fahrrad@v.radeln
amounts	n+f.Beträge@n+f.Mengen
contain	v.enthalten
accuracy	n+f.Genauigkeit
dual	a.doppelt@a.Dual
rise	n+m.Aufstieg@n+f.Erhöhung@v.steigen
sleep	n+m.Schlaf@v.schlafen
bird	n+m.Vogel
pharmacy	n+f.Apotheke@n+f.Pharmazie
brazil	n+n.Brasilien
creation	n+f.Schöpfung@n+f.Erstellung
static	a.statisch
scene	n+f.Szene
hunter	n+m.Jäger@n+f.Jägerin
addresses	n+f.Adressen@v.adressiert
lady	n+f.Dame@n+f.Frau
crystal	n+m.Kristall@a.Kristall
famous	a.berühmt
writer	n+m.Schriftsteller@n+f.Schriftstellerin@n+m.Autor
chairman	n+m.Vorsitzender@n+m.Vorstand
violence	n+f.Gewalt
fans	n+m.Fans@n+m.Ventilatoren
oklahoma	n+n.Oklahoma
speakers	n+m.Sprecher@n+m.Lautsprecher
drink	n+n.Getränk@v.trinken
academy	n+f.Akademie
dynamic	a.dynamisch
gender	n+n.Geschlecht@n+n.Gender
eat	v.essen
permanent	a.permanent@a.dauerhaft
agriculture	n+f.Landwirtschaft
dell	n+n.Dell
cleaning	n+f.Reinigung@v.reinigend
constitutes	v.stellt dar@v.bildet
portfolio	n+n.Portfolio@n+f.Mappe
practical	a.praktisch
delivered	v.lieferte@a.geliefert
collectibles	n+f.Sammlerstücke
infrastructure	n+f.Infrastruktur
exclusive	a.exklusiv
seat	n+m.Sitz@n+m.Platz
concerns	n+f.Bedenken@n+f.Sorgen@v.betrifft
colour	n+f.Farbe@v.färben
vendor	n+m.Verkäufer@n+m.Anbieter
originally	ad.ursprünglich
intel	n+n.Intel
utilities	n+f.Versorgungsunternehmen@n+f.Dienstprogramme
philosophy	n+f.Philosophie
regulation	n+f.Regelung@n+f.Verordnung
officers	n+m.Beamte@n+m.Offiziere
reduction	n+f.Reduzierung@n+f.Verringerung
aim	n+n.Ziel@v.zielen
bids	n+n.Gebote@v.bietet
referred	v.verwies@a.verwiesen
supports	v.unterstützt@n+f.Stützen
nutrition	n+f.Ernährung
recording	n+f.Aufnahme@n+f.Aufzeichnung@v.aufnehmend
regions	n+f.Regionen
junior	a.junior@n+m.Junior
toll	n+m.Zoll@n+f.Maut@n+m.Tribut
les	n+m.Les
cape	n+n.Kap@n+m.Umhang
ann	n+f.Ann
rings	n+m.Ringe@v.klingelt
meaning	n+f.Bedeutung@v.bedeutend
tip	n+f.Spitze@n+m.Tipp@n+n.Trinkgeld
secondary	a.sekundär@a.zweitrangig
wonderful	a+m.wunderbarer@a+f.wunderbare@a+n.wunderbares
mine	pron.meiner@pron.meine@n+f.Mine@n+n.Bergwerk
ladies	n+f.Damen
henry	n+m.Henry
ticket	n+n.Ticket@n+f.Fahrkarte@n+f.Eintrittskarte
announced	v.kündigte an@a.angekündigt
guess	v.raten@v.vermuten@n+f.Vermutung
agreed	v.stimmte zu@a.vereinbart
prevention	n+f.Prävention@n+f.Vorbeugung
whom	pron.wen@pron.wem
ski	n+m.Ski@v.Ski fahren
soccer	n+m.Fußball
import	n+m.Import@v.importieren
posting	n+m.Beitrag@v.postend
presence	n+f.Anwesenheit@n+f.Präsenz
instant	a.sofortig@n+m.Augenblick
mentioned	v.erwähnte@a.erwähnt
automatic	a.automatisch
healthcare	n+f.Gesundheitswesen@n+f.Gesundheitsversorgung
viewing	n+n.Ansehen@v.betrachtend
maintained	v.pflegte@a.gewartet
increasing	a.zunehmend@v.zunehmend
majority	n+f.Mehrheit
connected	a.verbunden@v.verband
christ	n+m.Christus
dan	n+m.Dan
dogs	n+m.Hunde
directors	n+m.Direktoren@n+m.Regisseure
aspects	n+m.Aspekte
austria	n+n.Österreich
ahead	ad.voraus@ad.vorne
moon	n+m.Mond
participation	n+f.Teilnahme@n+f.Beteiligung
scheme	n+n.Schema@n+m.Plan
utility	n+f.Nützlichkeit@n+n.Dienstprogramm
preview	n+f.Vorschau@v.Vorschau anzeigen
fly	v.fliegen@n+f.Fliege
manner	n+f.Art@n+f.Weise
matrix	n+f.Matrix
containing	v.enthaltend
combination	n+f.Kombination
amendment	n+f.Änderung@n+m.Zusatz
despite	prep.trotz
strength	n+f.Stärke@n+f.Kraft
guaranteed	a.garantiert@v.garantierte
turkey	n+f.Türkei@n+m.Truthahn
libraries	n+f.Bibliotheken
proper	a.richtig@a.ordentlich@a+m.angemessener@a+f.angemessene@a+n.angemessenes
distributed	a.verteilt@v.verteilte
degrees	n+m.Grade@n+m.Abschlüsse
singapore	n+n.Singapur
enterprises	n+n.Unternehmen
delta	n+n.Delta
fear	n+f.Angst@n+f.Furcht@v.fürchten
seeking	v.suchend
inches	n+m.Zoll
phoenix	n+n.Phoenix@n+m.Phönix
convention	n+f.Konvention@n+f.Tagung
shares	n+f.Aktien@n+m.Anteile@v.teilt
principal	a.hauptsächlich@n+m.Direktor@n+m.Kapital
daughter	n+f.Tochter
standing	n+n.Stehen@n+m.Rang@v.stehend
voyeur	n+m.Voyeur
comfort	n+m.Komfort@n+f.Bequemlichkeit@v.trösten
wars	n+m.Kriege
cisco	n+n.Cisco
ordering	n+f.Bestellung@v.bestellend
kept	v.behielt@a.gehalten
alpha	n+n.Alpha
appeal	n+m.Aufruf@n+f.Berufung@v.appellieren
cruise	n+f.Kreuzfahrt@v.kreuzen
bonus	n+m.Bonus
certification	n+f.Zertifizierung
previously	ad.zuvor@ad.früher
hey	int.hey
bookmark	n+n.Lesezeichen@v.als Lesezeichen speichern
buildings	n+n.Gebäude
specials	n+n.Angebote@n+f.Sondersendungen
beat	n+m.Takt@n+m.Schlag@v.schlagen
disney	n+n.Disney
household	n+m.Haushalt@a.Haushalts
batteries	n+f.Batterien@n+m.Akkus
adobe	n+n.Adobe@n+m.Lehm
smoking	n+n.Rauchen@v.rauchend
becomes	v.wird
drives	n+f.Laufwerke@n+f.Fahrten@v.fährt
arms	n+m.Arme@n+f.Waffen
alabama	n+n.Alabama
tea	n+m.Tee
improved	a.verbessert@v.verbesserte
trees	n+m.Bäume
avg	n+m.Durchschnitt
achieve	v.erreichen@v.erzielen
positions	n+f.Positionen@n+f.Stellungen
dress	n+n.Kleid@v.anziehen
subscription	n+n.Abonnement
dealer	n+m.Händler
contemporary	a.zeitgenössisch@a+m.moderner@a+f.moderne@a+n.modernes
sky	n+m.Himmel
utah	n+n.Utah
nearby	a.in der Nähe@ad.nahebei
rom	n+n.ROM
carried	v.trug@a.getragen
happen	v.passieren@v.geschehen
exposure	n+f.Exposition@n+f.Belichtung
panasonic	n+n.Panasonic
hide	v.verstecken@v.verbergen@n+n.Fell
signature	n+f.Unterschrift@n+f.Signatur
gambling	n+n.Glücksspiel@v.spielend
refer	v.verweisen@v.sich beziehen
miller	n+m.Miller@n+m.Müller
provision	n+f.Bestimmung@n+f.Bereitstellung
outdoors	ad.draußen@n+n.Freie
clothes	n+f.Kleidung@n+f.Kleider
caused	v.verursachte@a.verursacht
luxury	n+m.Luxus@a.Luxus
babes	n+f.Babys@n+f.Puppen
frames	n+m.Rahmen
viagra	n+n.Viagra
certainly	ad.sicherlich@ad.gewiss
indeed	ad.tatsächlich@ad.in der Tat
newspaper	n+f.Zeitung
toy	n+n.Spielzeug@a.Spielzeug
circuit	n+m.Stromkreis@n+f.Schaltung
layer	n+f.Schicht@n+f.Ebene
printed	a.gedruckt@v.druckte
slow	a+m.langsamer@a+f.langsame@a+n.langsames@v.verlangsamen
removal	n+f.Entfernung@n+f.Beseitigung
easier	a+m.leichterer@a+f.leichtere@a+n.leichteres@a+m.einfacherer@a+f.einfachere@a+n.einfacheres
liability	n+f.Haftung@n+f.Verbindlichkeit
trademark	n+f.Marke@n+n.Warenzeichen
hip	n+f.Hüfte@a.hip
printers	n+m.Drucker
faqs	n+f.FAQs@n+f.Häufig gestellte Fragen
nine	n+f.Neun@a.neun
adding	v.hinzufügend
kentucky	n+n.Kentucky
mostly	ad.meistens@ad.hauptsächlich
eric	n+m.Eric
spot	n+m.Fleck@n+m.Ort@n+f.Stelle@v.entdecken
taylor	n+m.Taylor
prints	n+m.Drucke@v.druckt
spend	v.ausgeben@v.verbringen
factory	n+f.Fabrik@n+n.Werk
interior	n+n.Innere@a+m.innerer@a+f.innere@a+n.inneres
revised	a.überarbeitet@v.überarbeitete
grow	v.wachsen@v.anbauen
americans	n+m.Amerikaner
optical	a.optisch
promotion	n+f.Förderung@n+f.Beförderung@n+f.Werbung
relative	a.relativ@n+m.Verwandter@n+f.Verwandte
amazing	a.erstaunlich@a+m.fantastischer@a+f.fantastische@a+n.fantastisches
clock	n+f.Uhr
dot	n+m.Punkt
identity	n+f.Identität
suites	n+f.Suiten
conversion	n+f.Umwandlung@n+f.Konvertierung
feeling	n+n.Gefühl@v.fühlend
hidden	a.versteckt@a.verborgen
reasonable	a.vernünftig@a.angemessen
victoria	n+f.Victoria
serial	a.seriell@n+f.Serie
relief	n+f.Erleichterung@n+f.Hilfe
revision	n+f.Revision@n+f.Überarbeitung
broadband	n+n.Breitband@a.Breitband
influence	n+m.Einfluss@v.beeinflussen
ratio	n+n.Verhältnis
importance	n+f.Bedeutung@n+f.Wichtigkeit
rain	n+m.Regen@v.regnen
onto	prep.auf@prep.hinauf
planet	n+m.Planet
webmaster	n+m.Webmaster
copies	n+f.Kopien@v.kopiert
recipe	n+n.Rezept
permit	v.erlauben@n+f.Genehmigung
seeing	v.sehend
proof	n+m.Beweis@n+m.Nachweis@a.korrekturlesend
diff	n+f.Differenz@n+m.Unterschied
tennis	n+n.Tennis
bass	n+m.Bass@n+m.Barsch
prescription	n+n.Rezept@n+f.Verschreibung
bedroom	n+n.Schlafzimmer
empty	a+m.leerer@a+f.leere@a+n.leeres@v.leeren
instance	n+f.Instanz@n+n.Beispiel
hole	n+n.Loch
pets	n+n.Haustiere
ride	n+f.Fahrt@v.fahren@v.reiten
licensed	a.lizenziert
orlando	n+n.Orlando
specifically	ad.speziell@ad.ausdrücklich
tim	n+m.Tim
bureau	n+n.Büro@n+f.Behörde
maine	n+n.Maine
represent	v.darstellen@v.vertreten
conservation	n+f.Erhaltung@n+m.Naturschutz
pair	n+n.Paar@v.paaren
ideal	a.ideal@n+n.Ideal
specs	n+f.Spezifikationen@n+f.Technische Daten
recorded	a.aufgezeichnet@v.zeichnete auf
don	n+m.Don@v.anziehen
pieces	n+n.Stücke@n+m.Teile
finished	a.fertig@v.beendete
parks	n+m.Parks
dinner	n+n.Abendessen
lawyers	n+m.Anwälte
sydney	n+n.Sydney
stress	n+m.Stress@n+f.Betonung@v.betonen
cream	n+f.Creme@n+f.Sahne
runs	v.läuft@n+m.Läufe
trends	n+m.Trends
yeah	int.ja@ad.ja
discover	v.entdecken
patterns	n+n.Muster
boxes	n+f.Kisten@n+f.Schachteln
louisiana	n+n.Louisiana
hills	n+m.Hügel
javascript	n+n.JavaScript
fourth	a+m.vierter@a+f.vierte@a+n.viertes@n+n.Viertel
advisor	n+m.Berater@n+f.Beraterin
marketplace	n+m.Marktplatz
evil	a+m.böser@a+f.böse@a+n.böses@n+n.Böse
aware	a.bewusst
wilson	n+m.Wilson
shape	n+f.Form@n+f.Gestalt@v.formen
evolution	n+f.Evolution@n+f.Entwicklung
irish	a.irisch@n+n.Irisch
certificates	n+n.Zertifikate@n+f.Bescheinigungen
objectives	n+n.Ziele@n+f.Ziele
stations	n+f.Stationen@n+m.Bahnhöfe
suggested	v.schlug vor@a.vorgeschlagen
remains	v.bleibt@n+f.Überreste
acc	n+m.Akk
greatest	a+m.größter@a+f.größte@a+n.größtes
firms	n+f.Firmen
concerned	a.besorgt@a.betroffen
euro	n+m.Euro
operator	n+m.Betreiber@n+m.Operator
structures	n+f.Strukturen
generic	a.generisch@a.allgemein
encyclopedia	n+f.Enzyklopädie
usage	n+f.Verwendung@n+m.Gebrauch
cap	n+f.Kappe@n+m.Deckel
ink	n+f.Tinte
charts	n+f.Tabellen@n+f.Diagramme
continuing	a.fortlaufend@v.fortsetzend
mixed	a.gemischt@v.mischte
census	n+f.Volkszählung@n+m.Zensus
interracial	a.interrassisch
peak	n+m.Gipfel@n+m.Höhepunkt
competitive	a.wettbewerbsfähig@a.konkurrenzfähig
exist	v.existieren
wheel	n+n.Rad
transit	n+m.Transit@n+f.Durchfahrt
dick	n+m.Schwanz@n+m.Dick
suppliers	n+m.Lieferanten
salt	n+n.Salz@v.salzen
compact	a.kompakt@n+m.Kompakt
poetry	n+f.Poesie@n+f.Dichtung
lights	n+n.Lichter@n+f.Lampen
tracking	n+f.Verfolgung@n+n.Tracking@v.verfolgend
angel	n+m.Engel
bell	n+f.Glocke@n+f.Klingel
keeping	v.behaltend@n+n.Aufbewahrung
preparation	n+f.Vorbereitung
attempt	n+m.Versuch@v.versuchen
receiving	v.empfangend@n+m.Empfang
matches	n+f.Übereinstimmungen@n+n.Spiele@v.passt
accordance	n+f.Übereinstimmung
width	n+f.Breite
noise	n+m.Lärm@n+n.Geräusch
engines	n+m.Motoren@n+f.Maschinen
forget	v.vergessen
array	n+n.Array@n+f.Reihe
discussed	v.diskutierte@a.diskutiert
accurate	a.genau@a.akkurat
stephen	n+m.Stephan
elizabeth	n+f.Elisabeth
climate	n+n.Klima
reservations	n+f.Reservierungen
pin	n+f.Nadel@n+f.PIN@v.feststecken
playstation	n+f.PlayStation
alcohol	n+m.Alkohol
greek	a.griechisch@n+n.Griechisch
instruction	n+f.Anweisung@n+m.Unterricht
managing	v.verwaltend@a.leitend
annotation	n+f.Anmerkung@n+f.Annotation
sister	n+f.Schwester
raw	a+m.roher@a+f.rohe@a+n.rohes
differences	n+m.Unterschiede
walking	n+n.Gehen@v.gehend
explain	v.erklären
smaller	a+m.kleinerer@a+f.kleinere@a+n.kleineres
newest	a+m.neuester@a+f.neueste@a+n.neuestes
establish	v.gründen@v.etablieren
gnu	n+n.GNU
happened	v.passierte@v.geschah
expressed	v.drückte aus@a.ausgedrückt
jeff	n+m.Jeff
extent	n+m.Ausmaß@n+f.Ausdehnung
sharp	a+m.scharfer@a+f.scharfe@a+n.scharfes
lesbians	n+f.Lesben
ben	n+m.Ben
lane	n+f.Gasse@n+f.Spur
paragraph	n+m.Absatz@n+m.Paragraf
kill	v.töten@n+m.Tötung
mathematics	n+f.Mathematik
compensation	n+f.Entschädigung@n+f.Vergütung
export	n+m.Export@v.exportieren
managers	n+m.Manager
aircraft	n+n.Flugzeug
modules	n+n.Module
sweden	n+n.Schweden
conflict	n+m.Konflikt@v.konfligieren
conducted	v.führte durch@a.durchgeführt
versions	n+f.Versionen
employer	n+m.Arbeitgeber
occur	v.vorkommen@v.auftreten
percentage	n+m.Prozentsatz@n+n.Prozent
knows	v.weiß@v.kennt
mississippi	n+n.Mississippi
describe	v.beschreiben
concern	n+f.Besorgnis@n+n.Anliegen@v.betreffen
backup	n+n.Backup@n+f.Sicherung@v.sichern
requested	v.forderte an@a.angefordert
citizens	n+m.Bürger
connecticut	n+n.Connecticut
heritage	n+n.Erbe@n+f.Tradition
personals	n+f.Kontaktanzeigen
immediate	a.sofortig@a.unmittelbar
holding	n+f.Holding@v.haltend
trouble	n+m.Ärger@n+f.Schwierigkeit
spread	v.verbreiten@n+f.Verbreitung
coach	n+m.Trainer@n+m.Bus@v.trainieren
kevin	n+m.Kevin
agricultural	a.landwirtschaftlich
expand	v.erweitern@v.ausdehnen
supporting	a.unterstützend@v.unterstützend
audience	n+n.Publikum@n+f.Zuhörerschaft
assigned	v.zugewiesen@a.zugeordnet
jordan	n+n.Jordanien@n+m.Jordan
collections	n+f.Sammlungen
ages	n+n.Zeitalter@n+f.Altersstufen
participate	v.teilnehmen
plug	n+m.Stecker@v.einstecken
specialist	n+m.Spezialist@n+f.Spezialistin
cook	n+m.Koch@n+f.Köchin@v.kochen
affect	v.beeinflussen@v.betreffen
virgin	n+f.Jungfrau@a.jungfräulich
experienced	a.erfahren
investigation	n+f.Untersuchung@n+f.Ermittlung
raised	v.erhob@v.aufzog@a.erhöht
hat	n+m.Hut
institution	n+f.Institution@n+f.Einrichtung
directed	v.leitete@a.gerichtet
dealers	n+m.Händler
searching	v.suchend@n+f.Suche
sporting	a.sportlich@v.sportend
helping	v.helfend@n+f.Portion
perl	n+n.Perl
affected	a.betroffen@v.beeinträchtigte
lib	n+f.Bibliothek
bike	n+n.Fahrrad@n+n.Motorrad@v.radfahren
totally	ad.total@ad.völlig
plate	n+m.Teller@n+f.Platte
expenses	n+f.Ausgaben@n+f.Kosten
